,DATE,LOC,ORG,PER,Mean
twi,,0.9471535682678223,0.9688910841941833,0.9761538505554199,0.9640661676724752
lug,,0.9445832967758179,0.95965576171875,0.9508343935012817,0.9516911506652832
nya,,0.9103660583496094,0.9555896520614624,0.9801424145698547,0.9486993749936422
ewe,,0.9374752640724182,0.9503334760665894,0.9519062638282776,0.9465716679890951
pcm,,0.9410963654518127,0.9188863039016724,0.9743120670318604,0.9447649121284485
luo,,0.9480102062225342,0.9180898070335388,0.9611534476280212,0.9424178202946981
ibo,,0.8944768309593201,0.9584001302719116,0.973380446434021,0.9420858025550842
swa,,0.9418384432792664,0.9150907397270203,0.9682676196098328,0.9417322675387064
hau,,0.8922532200813293,0.9550480842590332,0.9669666290283203,0.9380893111228943
kin,,0.9282101988792419,0.9163403511047363,0.9674157500267029,0.9373221000035604
fon,,0.9034976363182068,0.9572233557701111,0.9504939913749695,0.9370716611544291
tsn,,0.8964608311653137,0.9478952884674072,0.964996337890625,0.9364508191744486
bam,,0.9243718385696411,0.910024106502533,0.9701836109161377,0.9348598519961039
mos,,0.8991774916648865,0.9442110657691956,0.9593954086303711,0.9342613220214844
zul,,0.9139848947525024,0.9484937787055969,0.9359036087989807,0.9327940940856934
wol,,0.8853942155838013,0.9325157999992371,0.9712643623352051,0.9297247926394144
sna,,0.8895328640937805,0.9370680451393127,0.9581696391105652,0.9282568494478861
bbj,,0.8211416602134705,0.938531756401062,0.9658700227737427,0.9085144797960917
xho,,0.8587280511856079,0.9373123049736023,0.9271942973136902,0.9077448844909668
yor,,0.7516153454780579,0.9377269148826599,0.903448224067688,0.8642634948094686
