,DATE,ORG,PER,LOC
bam,0.9756523370742798,0.9786074161529541,0.9919952750205994,0.9695066809654236
bbj,0.9720966219902039,0.9890896677970886,0.9906105399131775,0.9532148241996765
ewe,0.9730807542800903,0.9912114143371582,0.9898902177810669,0.9760181307792664
fon,0.9671996235847473,0.9876769185066223,0.9872197508811951,0.958602786064148
hau,0.9673212170600891,0.9779001474380493,0.9882059097290039,0.93621826171875
ibo,0.9902215003967285,0.9926416873931885,0.9938479065895081,0.9620929956436157
kin,0.9881367087364197,0.99327152967453,0.991555392742157,0.989344596862793
lug,0.9739378094673157,0.9703823328018188,0.9942244291305542,0.9876204133033752
luo,0.9875719547271729,0.987618088722229,0.9926707148551941,0.9833274483680725
mos,0.9698927998542786,0.9905691742897034,0.9842869639396667,0.9682140350341797
nya,0.9785683155059814,0.9923145174980164,0.9898008704185486,0.9757283926010132
pcm,0.9513033032417297,0.9820826649665833,0.9947419166564941,0.9826141595840454
sna,0.9801695346832275,0.9878951907157898,0.9892091751098633,0.9734908938407898
swa,0.9539662003517151,0.9811906218528748,0.9880685210227966,0.9913932085037231
tsn,0.9854327440261841,0.9862054586410522,0.9878202080726624,0.9788755178451538
twi,0.9830800890922546,0.9945788383483887,0.9909752011299133,0.9844431281089783
wol,0.9879456162452698,0.988696813583374,0.9893906712532043,0.9610739946365356
xho,0.9908578395843506,0.9865825772285461,0.9855203628540039,0.964170515537262
yor,0.9818786978721619,0.9915775656700134,0.9843871593475342,0.9547967910766602
zul,0.986404538154602,0.9920227527618408,0.9884035587310791,0.9694462418556213
