,LOC,PER,ORG,DATE,Mean
lug,0.98802376,0.98825073,0.9755649,0.8778112,0.95741266
luo,0.94181764,0.98190373,0.97474337,0.88775504,0.9465549
kin,0.93430406,0.96689916,0.9680424,0.91231894,0.9453911
ibo,0.88667643,0.9687837,0.9678173,0.9234084,0.9366715
twi,0.91948134,0.971721,0.97538203,0.87391806,0.9351256
swa,0.94069326,0.963083,0.97157884,0.8468609,0.93055403
tsn,0.8468734,0.96828175,0.9650455,0.89429396,0.9186237
nya,0.8540834,0.97273314,0.97525954,0.86439073,0.9166167
sna,0.8236854,0.9211995,0.953255,0.93430793,0.90811193
bam,0.89182687,0.9610579,0.9141856,0.8437706,0.9027102
ewe,0.9344952,0.97111833,0.95653915,0.7384616,0.9001535
fon,0.83621895,0.95697045,0.9563008,0.84333235,0.89820564
wol,0.7900288,0.9587829,0.95128095,0.8876524,0.8969363
hau,0.77270705,0.9634356,0.93601775,0.90789807,0.89501464
zul,0.82611394,0.9213879,0.9421071,0.8838489,0.8933645
pcm,0.91267014,0.9795692,0.9579329,0.6843029,0.88361883
xho,0.7464187,0.947695,0.887062,0.9527194,0.8834738
mos,0.8044871,0.9682747,0.95580125,0.7765484,0.87627786
bbj,0.7066784,0.9641453,0.8932968,0.77176225,0.83397067
yor,0.6706991,0.8325851,0.825677,0.82724774,0.78905225
