,DATE,PER,ORG,LOC
bam,0.9565587043762207,0.9515902996063232,0.8690526485443115,0.9065902233123779
bbj,0.8729103803634644,0.9471734166145325,0.929064154624939,0.7887347936630249
ewe,0.8137537240982056,0.9349794387817383,0.9582589268684387,0.9169855117797852
fon,0.9058210253715515,0.9453084468841553,0.952150285243988,0.8838043212890625
hau,0.9511718153953552,0.9572169780731201,0.9601304531097412,0.8688367605209351
ibo,0.9689375758171082,0.9570005536079407,0.9592406749725342,0.8847346305847168
kin,0.965523898601532,0.962890088558197,0.9604830145835876,0.9287994503974915
lug,0.941412627696991,0.9427711367607117,0.964369535446167,0.9421384930610657
luo,0.9568820595741272,0.9438880085945129,0.9547612071037292,0.9418421387672424
mos,0.8697451949119568,0.9501798748970032,0.951385498046875,0.8874521851539612
nya,0.9518534541130066,0.9663041234016418,0.95244300365448,0.8820305466651917
pcm,0.8052477240562439,0.9573764801025391,0.9027214050292969,0.9133510589599609
sna,0.9661768674850464,0.9479627013206482,0.9498730897903442,0.8719795942306519
swa,0.9095407128334045,0.9277555346488953,0.8998159170150757,0.9351386427879333
tsn,0.9595511555671692,0.9544082880020142,0.9459372162818909,0.9161946177482605
twi,0.9354121088981628,0.962904691696167,0.9676200747489929,0.9411061406135559
wol,0.9439803957939148,0.9574714303016663,0.950939416885376,0.8715903162956238
xho,0.9401509165763855,0.9178249835968018,0.9491499066352844,0.8589072227478027
yor,0.9088648557662964,0.8978710174560547,0.9317106604576111,0.8011349439620972
zul,0.957440197467804,0.9313932061195374,0.9600334763526917,0.9082933664321899
