,LOC,DATE,ORG,PER
bam,0.9999822378158569,,0.9997982382774353,
bbj,0.9999386072158813,,0.9999479651451111,0.9998838901519775
ewe,,,0.9999790191650391,0.9999731779098511
fon,0.9999697208404541,,0.9999802708625793,0.9999736547470093
hau,0.9999881386756897,,0.9999890327453613,0.9999805092811584
ibo,0.9999765753746033,,0.9999874830245972,
kin,0.9999738335609436,,0.9999328255653381,0.9999930262565613
lug,,,0.9999784827232361,0.9999737739562988
luo,,,0.9998123049736023,0.9999654293060303
mos,0.9999567270278931,,0.999984085559845,0.999944269657135
nya,0.9999269247055054,,0.9999895691871643,0.9999964833259583
pcm,0.9999858140945435,,0.9999768733978271,0.9999879002571106
sna,0.9999698400497437,,0.9999676942825317,0.9999517202377319
swa,0.999987781047821,,0.9999719262123108,0.9999722242355347
tsn,0.9999868869781494,,0.9999896883964539,
twi,0.999984622001648,,0.9999904036521912,0.9999576210975647
wol,0.9999828338623047,,0.999938428401947,0.9999644160270691
xho,0.9999161958694458,,,0.9999863505363464
yor,0.9999616146087646,,0.999986469745636,
zul,0.9999811053276062,,,0.9999915957450867
