,ORG,LOC,PER,DATE,Mean
bam,0.9987399578094482,0.9983967542648315,0.998360276222229,,0.9984989960988363
luo,0.9953623414039612,0.9992989301681519,0.9990797638893127,,0.997913678487142
kin,0.9977166652679443,0.9983114004135132,0.9946351051330566,,0.996887723604838
lug,0.9986684322357178,0.9965904355049133,0.9953378438949585,,0.9968655705451965
twi,0.9983190298080444,0.995755136013031,0.9942043423652649,,0.9960928360621134
fon,0.9991906881332397,0.9974156618118286,0.9872589707374573,,0.9946217735608419
hau,0.9986652135848999,0.9973087310791016,0.9876368045806885,,0.9945369164148966
ibo,0.9981467127799988,0.9895134568214417,0.9956833124160767,,0.9944478273391724
pcm,0.9847328662872314,0.9959421753883362,0.9970249533653259,,0.9925666650136312
zul,0.9894746541976929,0.9970297813415527,0.9910993576049805,,0.9925345977147421
nya,0.980664074420929,0.9967752695083618,0.9990938901901245,,0.9921777447064718
swa,0.9769563674926758,0.9988516569137573,0.9945790767669678,,0.9901290337244669
mos,0.9993013143539429,0.9971054196357727,0.9733998775482178,,0.9899355371793112
xho,0.9830940961837769,0.9904295802116394,0.993925929069519,,0.9891498684883118
wol,0.9834522008895874,0.9972350597381592,0.9865446090698242,,0.9890772898991903
sna,0.9821362495422363,0.9859068989753723,0.9988225698471069,,0.9889552394549052
bbj,0.9994067549705505,0.9618215560913086,0.9955328702926636,,0.9855870604515076
ewe,0.9994746446609497,0.9931190609931946,0.9609771370887756,,0.98452361424764
yor,0.9785718321800232,0.9782311916351318,,,0.9784015119075775
tsn,0.9860730171203613,0.9725543856620789,0.9460296630859375,,0.9682190219561259
