,PER,LOC,ORG,DATE
bam,0.9491801857948303,0.9061682224273682,0.8481193780899048,
bbj,0.9397686719894409,0.8149561285972595,0.921504557132721,
ewe,0.9314008951187134,0.8930034637451172,0.9362420439720154,
fon,0.9322600960731506,0.8917145133018494,0.9371068477630615,
hau,0.9596917033195496,0.8804083466529846,0.9537996053695679,
ibo,0.951727032661438,0.8981293439865112,0.946098804473877,
kin,0.9656708836555481,0.9051525592803955,0.9495205283164978,
lug,0.9412320256233215,0.9132474064826965,0.9533814787864685,
luo,0.9442527890205383,0.9213274717330933,0.9004952311515808,
mos,0.9409683346748352,0.9067314863204956,0.9377368688583374,
nya,0.9625078439712524,0.88621586561203,0.9411829710006714,
pcm,0.9476339221000671,0.8890577554702759,0.8942648768424988,
sna,0.95609050989151,0.8778414726257324,0.9427647590637207,
swa,0.9279870986938477,0.891833484172821,0.8880035281181335,
tsn,0.9494162201881409,0.8818524479866028,0.936356782913208,
twi,0.9604601860046387,0.917920708656311,0.9604625701904297,
wol,0.9504557251930237,0.8870118260383606,0.9416784048080444,
xho,0.8940766453742981,0.8611987233161926,0.942811906337738,
yor,,0.7788031101226807,0.916641891002655,
zul,0.924678385257721,0.8757210373878479,0.9478692412376404,
