,PER,DATE,LOC,ORG
bam,,,0.9718499779701233,0.9709275364875793
bbj,,,0.943479061126709,0.9758920669555664
ewe,0.9764107465744019,,,0.9714922904968262
fon,0.9788199067115784,,0.9605861306190491,0.9802542924880981
hau,0.9763164520263672,,0.929115891456604,0.9743066430091858
ibo,,,0.9544482827186584,0.9722924828529358
kin,0.9746392965316772,,0.9609503746032715,0.9656499624252319
lug,0.9794876575469971,,,0.9654580950737
luo,0.9611122012138367,,,0.961649477481842
mos,0.9760465025901794,,,0.9799004793167114
nya,,,0.9680631756782532,0.9723361730575562
pcm,0.9744751453399658,,0.9543303847312927,
sna,0.9770658016204834,,0.9616180658340454,
swa,0.970005989074707,,0.94050133228302,0.9161654710769653
tsn,,,0.9604832530021667,0.9764214158058167
twi,0.9872021675109863,,0.9720695614814758,0.9847776293754578
wol,0.9836088418960571,,0.9601994156837463,0.9699257612228394
xho,0.9630756378173828,,0.958134651184082,
yor,,,0.9333347678184509,0.9755515456199646
zul,,,0.9549060463905334,
