,PER,LOC,ORG,DATE,Mean
kin,0.9848306179046631,0.9846020340919495,0.9910497665405273,0.9847055077552795,0.9862969815731049
twi,0.9890565872192383,0.9812389016151428,0.9921683073043823,0.9793421030044556,0.9854514747858047
luo,0.983524739742279,0.9801941514015198,0.9821680188179016,0.9848208427429199,0.9826769381761551
nya,0.9921475052833557,0.9725685715675354,0.987631618976593,0.9707161784172058,0.9807659685611725
sna,0.9889855980873108,0.9588177800178528,0.9883105158805847,0.9833630919456482,0.9798692464828491
tsn,0.9868903160095215,0.9705005288124084,0.9807893633842468,0.9811496138572693,0.9798324555158615
zul,0.9850336909294128,0.9662560224533081,0.9883920550346375,0.9784342646598816,0.97952900826931
ewe,0.9859578013420105,0.9691435098648071,0.9866603016853333,0.9665768146514893,0.97708460688591
ibo,0.9870200753211975,0.9470157623291016,0.9857237339019775,0.9879470467567444,0.9769266545772552
wol,0.9879090189933777,0.9531227946281433,0.9847016334533691,0.9812735319137573,0.9767517447471619
lug,0.9937138557434082,0.9814149737358093,0.9700323343276978,0.95770263671875,0.9757159501314163
xho,0.9833512306213379,0.9526204466819763,0.979066789150238,0.9815937876701355,0.9741580635309219
bam,0.9855434894561768,0.9611329436302185,0.9676777720451355,0.972302258014679,0.9716641157865524
mos,0.9880498647689819,0.957604706287384,0.9869073033332825,0.9475735425949097,0.9700338542461395
yor,0.9803131222724915,0.9387470483779907,0.98745197057724,0.9714996218681335,0.9695029407739639
fon,0.9869497418403625,0.9439930319786072,0.9862680435180664,0.9604782462120056,0.9694222658872604
swa,0.9831821918487549,0.9833329319953918,0.9730661511421204,0.929787814617157,0.967342272400856
hau,0.9879339933395386,0.9538331031799316,0.9796171188354492,0.9455905556678772,0.9667436927556992
bbj,0.9839459657669067,0.9350926280021667,0.9805896878242493,0.9628375172615051,0.965616449713707
pcm,0.9898375272750854,0.9775714874267578,0.97316575050354,0.917842447757721,0.9646043032407761
