,LOC,PER,ORG,DATE,Mean
lug,0.63919604,0.7205254,0.62379485,0.52791387,0.6278575
luo,0.5791292,0.6708007,0.65257597,0.53823256,0.6101846
kin,0.5835625,0.6345673,0.62446487,0.5613014,0.600974
ibo,0.53012484,0.63591075,0.64546174,0.5812488,0.59818655
twi,0.5617972,0.639711,0.6542547,0.5237833,0.59488654
swa,0.5776396,0.64353716,0.6349623,0.51737994,0.59337974
nya,0.50603294,0.6453394,0.6391839,0.5172857,0.5769605
tsn,0.4851634,0.6254149,0.6392519,0.5432296,0.57326496
pcm,0.55399275,0.6636382,0.61917055,0.41192502,0.5621816
sna,0.4704209,0.55894613,0.61283666,0.5964798,0.5596708
ewe,0.56791157,0.6148232,0.62019587,0.43117368,0.55852604
wol,0.46557269,0.6095726,0.6033457,0.54068357,0.5547936
bam,0.5375829,0.62383,0.5567713,0.5008065,0.5547477
hau,0.44684005,0.6157112,0.57982767,0.55883396,0.5503032
fon,0.4752816,0.61681545,0.6010353,0.5079453,0.5502694
xho,0.4346701,0.5889362,0.53818595,0.61577624,0.5443921
zul,0.48510665,0.53917515,0.59016895,0.5424207,0.5392178
mos,0.4701361,0.61924195,0.59815997,0.4426407,0.53254473
bbj,0.3949218,0.6456259,0.55251765,0.45411158,0.5117942
yor,0.37214354,0.5187865,0.5133187,0.49611026,0.47508973
