,DATE,PER,LOC,ORG,Mean
lug,0.91293085,0.98191196,0.8918222,0.950178,0.9342108
kin,0.9172247,0.9408022,0.8908798,0.9395821,0.92212224
sna,0.92249066,0.8695637,0.87038237,0.9181403,0.8951442
nya,0.8812939,0.9541487,0.81548893,0.92640185,0.8943333
xho,0.9313984,0.87952554,0.8563907,0.90694076,0.8935638
luo,0.8484458,0.9545437,0.86660516,0.89239264,0.89049685
twi,0.84522855,0.9477705,0.853663,0.913777,0.8901098
ibo,0.8729048,0.935621,0.86789095,0.8627275,0.8847861
wol,0.8281023,0.9233348,0.8357099,0.9023006,0.8723619
zul,0.8672283,0.87525034,0.8379977,0.90511596,0.8713981
tsn,0.8633225,0.9392607,0.78212225,0.8928194,0.8693812
swa,0.8412726,0.96411794,0.818053,0.8415389,0.8662456
bam,0.8053943,0.91407454,0.845846,0.84250724,0.85195553
hau,0.8485292,0.9068196,0.7738025,0.872433,0.8503961
ewe,0.7670263,0.8963333,0.7743252,0.866449,0.8260335
pcm,0.6576102,0.9437314,0.8004545,0.86208725,0.81597084
mos,0.71067435,0.89557636,0.79049754,0.8637197,0.815117
fon,0.71166337,0.8892517,0.7552854,0.85412776,0.802582
bbj,0.7009403,0.88772565,0.6871846,0.771433,0.7618209
yor,0.76752114,0.7935599,0.6922567,0.7416839,0.74875546
