,ORG,PER,DATE,LOC
bam,0.7450078129768372,,,
bbj,0.8059645891189575,,,
ewe,0.7391968369483948,0.6789854764938354,,
fon,,0.6533775329589844,,
hau,0.7729939222335815,0.7368363738059998,,
ibo,0.8123087882995605,,,0.7689687013626099
kin,0.7698847055435181,,,
lug,0.8495887517929077,0.6318262815475464,,
luo,0.773741602897644,0.7522097826004028,,
mos,0.8067169785499573,0.6360454559326172,,
nya,0.8013180494308472,,,
pcm,,0.7226118445396423,,0.8626439571380615
sna,,0.5349896550178528,,0.7251607179641724
swa,,0.7280070185661316,,
tsn,0.8007785081863403,,,0.7586014270782471
twi,,0.7716593146324158,,
wol,0.7921864986419678,,,
xho,,0.5063915252685547,,0.6595288515090942
yor,0.8071631789207458,,,0.4607471227645874
zul,,,,0.6742143630981445
