,PER,LOC,ORG,DATE
bam,0.9898693561553955,0.9798087477684021,0.9544256925582886,
bbj,0.9885145425796509,0.9597296118736267,0.9863972663879395,
ewe,0.9854661822319031,0.9755297303199768,0.9865858554840088,
fon,0.9844920039176941,0.9783459305763245,0.9860720038414001,
hau,0.986298143863678,0.9433252811431885,0.9740009307861328,
ibo,0.9917014837265015,0.9611713290214539,0.9843869805335999,
kin,0.985516369342804,0.9763457775115967,0.9860168695449829,
lug,0.9835593700408936,0.9769116640090942,0.9699783325195312,
luo,0.98406982421875,0.9764714241027832,0.9679096937179565,
mos,0.9850322604179382,0.9799782633781433,0.9851292967796326,
nya,0.9916643500328064,0.978010892868042,0.979237973690033,
pcm,0.9868940114974976,0.9789931774139404,0.9660497903823853,
sna,0.9797250032424927,0.9719542860984802,0.9759423136711121,
swa,0.9883649349212646,0.9796772003173828,0.9587677717208862,
tsn,0.9831959009170532,0.9766146540641785,0.9822104573249817,
twi,0.9885460138320923,0.9760274887084961,0.9879026412963867,
wol,0.9895634651184082,0.9693531394004822,0.9852136969566345,
xho,0.971222996711731,0.9735649228096008,0.982151210308075,
yor,,0.9409617781639099,0.9806717038154602,
zul,0.9842024445533752,0.9695898294448853,0.9840425252914429,
