,PER,ORG,LOC,DATE,Mean
lug,0.6776876,0.64094627,0.649366,0.5850663,0.63826656
kin,0.617813,0.60343385,0.6023485,0.57792306,0.6003796
nya,0.6160437,0.5773297,0.5604573,0.5474741,0.5753262
xho,0.54705125,0.5804353,0.56958306,0.58199495,0.5697661
sna,0.54884565,0.5698322,0.57085407,0.5715856,0.56527936
luo,0.5987538,0.5474677,0.563431,0.52519375,0.5587116
tsn,0.5878048,0.563038,0.50845534,0.5285904,0.54697216
zul,0.5726849,0.5606433,0.53695726,0.5160776,0.54659075
wol,0.5745657,0.5597547,0.5264424,0.49747646,0.53955984
twi,0.5882703,0.53858244,0.51919866,0.48885208,0.53372586
ibo,0.5534704,0.5091572,0.53669494,0.51714444,0.52911675
hau,0.5486859,0.52595705,0.5111558,0.5236885,0.5273718
bam,0.54794204,0.50888276,0.5147111,0.5091629,0.5201747
swa,0.5792267,0.5001288,0.5012233,0.49941838,0.51999927
mos,0.51078004,0.522187,0.48823074,0.46076223,0.49549
ewe,0.5197833,0.5140468,0.4817781,0.46270573,0.4945785
pcm,0.5536078,0.49020073,0.47054738,0.4242526,0.48465213
fon,0.50689685,0.48657328,0.4656571,0.40434307,0.46586758
yor,0.4583562,0.42573538,0.4282942,0.43543407,0.43695498
bbj,0.4827348,0.43952736,0.407146,0.40150282,0.43272775
