,LOC,ORG,PER,DATE
bam,0.9707762598991394,0.9503940343856812,0.9791695475578308,
bbj,0.9359930157661438,0.9730783104896545,0.9765587449073792,
ewe,0.9713575839996338,0.9849644899368286,0.9822397232055664,
fon,0.9613471031188965,0.9807478189468384,0.9803110361099243,
hau,0.9545224905014038,0.9693132638931274,0.9805285930633545,
ibo,0.953265905380249,0.9821285009384155,0.9792069792747498,
kin,0.9790219068527222,0.9775148034095764,0.9826008677482605,
lug,0.9823798537254333,0.98172527551651,0.9786301851272583,
luo,0.9782708287239075,0.9694809913635254,0.9831192493438721,
mos,0.9602401256561279,0.9799726009368896,0.981783390045166,
nya,0.9611573219299316,0.9787843227386475,0.9875079989433289,
pcm,0.9728963971138,0.9753135442733765,0.9873296022415161,
sna,0.9591329097747803,0.9792283773422241,0.9809600114822388,
swa,0.9802471399307251,0.9649522304534912,0.985230565071106,
tsn,0.9714130163192749,0.9820768237113953,0.986993670463562,
twi,0.9796378016471863,0.9894422888755798,0.9860936403274536,
wol,0.9594570398330688,0.9809198379516602,0.9798729419708252,
xho,0.9527970552444458,0.9681792855262756,0.956065833568573,
yor,0.9341379404067993,0.9685322046279907,0.9724492430686951,
zul,0.9669507741928101,0.9719392657279968,0.9691792726516724,
