,LOC,ORG,DATE,PER
bam,0.9996413588523865,0.9999266862869263,0.9998250603675842,0.9999370574951172
bbj,0.999565064907074,0.9998672604560852,0.999483048915863,0.9999552369117737
ewe,0.9998457431793213,0.9999178051948547,0.9956952333450317,0.999927818775177
fon,0.9994350075721741,0.9999346733093262,0.9998437762260437,0.9999141693115234
hau,0.998936653137207,0.999903678894043,0.9999146461486816,0.9999528527259827
ibo,0.9994609355926514,0.9999330639839172,0.9999192953109741,0.999945878982544
kin,0.999711275100708,0.9999711513519287,0.999851644039154,0.999915599822998
lug,0.9998676180839539,0.9999105930328369,0.9998253583908081,0.9999739527702332
luo,0.9996819496154785,0.9998691082000732,0.999907910823822,0.9997163414955139
mos,0.9993962645530701,0.999901294708252,0.9995493292808533,0.9998676776885986
nya,0.9996199607849121,0.999944806098938,0.9998238682746887,0.9999585151672363
pcm,0.9999394416809082,0.9998452663421631,0.998984158039093,0.9999158978462219
sna,0.9985601902008057,0.9998410940170288,0.9998775124549866,0.9999473690986633
swa,0.9999493360519409,0.9998647570610046,0.9996668696403503,0.9998551607131958
tsn,0.9998036623001099,0.9998077154159546,0.999833881855011,0.9999274015426636
twi,0.9998967051506042,0.9999431371688843,0.9994831085205078,0.9999389052391052
wol,0.9993972778320312,0.9998379945755005,0.9999233484268188,0.9998997449874878
xho,0.9984413385391235,0.9998967051506042,0.9998576641082764,0.999845027923584
yor,0.999038577079773,0.999903678894043,0.9997676014900208,0.9998893141746521
zul,0.9993200302124023,0.9999461770057678,0.9998972415924072,0.999778151512146
