,PER,LOC,DATE,ORG,Mean
lug,0.9703803,0.9282944,0.9183334,0.95108545,0.9420234
tsn,0.9629286,0.89314187,0.87066853,0.9550595,0.9204496
luo,0.95763975,0.9072999,0.8630446,0.9538001,0.92044616
nya,0.9526028,0.87486315,0.8857323,0.95741785,0.91765404
kin,0.9576164,0.8800526,0.8769959,0.9492433,0.91597706
twi,0.9323898,0.91460866,0.8736659,0.9394461,0.9150276
wol,0.94465315,0.8881514,0.8634106,0.9470522,0.91081685
zul,0.9206096,0.8700453,0.8913823,0.95369875,0.908934
mos,0.94728565,0.8783542,0.86843526,0.9366689,0.907686
bam,0.9448337,0.89948237,0.8683387,0.91791505,0.9076424
sna,0.9038285,0.8967613,0.84945273,0.9593173,0.90233994
swa,0.92037976,0.918797,0.86168474,0.90463877,0.90137506
xho,0.9278724,0.8384079,0.86110795,0.93921196,0.8916501
ewe,0.8809714,0.8839801,0.8371092,0.9479643,0.88750625
bbj,0.950624,0.8483166,0.82124394,0.9265286,0.88667834
ibo,0.9498116,0.89716816,0.82918644,0.8697376,0.8864759
yor,0.89725745,0.8482612,0.8402102,0.92022765,0.87648916
fon,0.93561137,0.7290539,0.8820388,0.93154263,0.8695617
pcm,0.8326373,0.8206073,0.8713181,0.9091598,0.8584306
hau,0.8773048,0.65454805,0.6443779,0.75388825,0.73252976
