,LOC,DATE,ORG,PER,Mean
kin,0.9999998211860657,0.9999996423721313,0.9999996423721313,0.999997615814209,0.9999996691238223
twi,0.9999997019767761,0.9999995827674866,0.9999997615814209,0.9999962449073792,0.9999996279794088
luo,0.9999995231628418,0.9999995827674866,0.9999995231628418,0.9999969601631165,0.999999502355971
tsn,0.9999995827674866,0.9999997019767761,0.9999992847442627,0.9999969005584717,0.9999994818619856
ewe,0.9999995827674866,0.9999992251396179,0.9999997019767761,0.9999954700469971,0.9999994397789161
zul,0.9999993443489075,0.9999996423721313,0.999999463558197,0.9999954700469971,0.9999994202235866
ibo,0.9999988079071045,0.9999997615814209,0.9999998211860657,0.9999951124191284,0.999999395036322
bam,0.9999988675117493,0.9999995231628418,0.9999992847442627,0.999995768070221,0.9999991706975802
sna,0.9999985098838806,0.9999994039535522,0.9999995231628418,0.9999958276748657,0.9999990934149174
swa,0.9999997615814209,0.9999983906745911,0.9999991655349731,0.9999969601631165,0.9999990721387187
xho,0.9999984502792358,0.9999997019767761,0.9999992251396179,0.9999951124191284,0.9999990625957179
nya,0.9999991059303284,0.9999986886978149,0.999999463558197,0.9999969005584717,0.9999990516447332
wol,0.9999986886978149,0.9999991655349731,0.9999992251396179,0.9999953508377075,0.9999989685736929
lug,0.9999997615814209,0.9999982118606567,0.9999990463256836,0.9999961853027344,0.9999989621595448
yor,0.9999980926513672,0.9999992251396179,0.9999996423721313,0.9999959468841553,0.9999989388495918
bbj,0.9999982118606567,0.9999988675117493,0.9999997019767761,0.9999960660934448,0.9999988820609145
mos,0.9999991655349731,0.9999980330467224,0.9999995827674866,0.9999940395355225,0.9999988501466165
fon,0.9999980926513672,0.9999988079071045,0.999999463558197,0.9999925494194031,0.9999986897929134
pcm,0.9999987483024597,0.9999971985816956,0.9999995231628418,0.9999961256980896,0.999998452782318
hau,0.9999971389770508,0.9999974966049194,0.9999993443489075,0.9999949336051941,0.9999979451259603
