,PER,DATE,LOC,ORG,Mean
lug,0.78521,0.59897196,0.6986391,0.6847561,0.6918943
twi,0.7023624,0.61377615,0.571405,0.7291154,0.65416473
luo,0.6877427,0.6294513,0.5750033,0.71847296,0.6526676
ibo,0.7117048,0.6374983,0.5398362,0.6773648,0.641601
sna,0.6946901,0.65317553,0.49681064,0.69798076,0.6356642
swa,0.65218705,0.6007715,0.5965058,0.6914178,0.6352205
kin,0.6636356,0.6270921,0.55711275,0.68438137,0.63305545
nya,0.6792737,0.59026283,0.5141582,0.7262874,0.6274955
tsn,0.6705581,0.6308676,0.51781553,0.6835296,0.6256927
ewe,0.7205792,0.55518705,0.5549813,0.664166,0.6237284
pcm,0.7535071,0.4792633,0.57447547,0.6744782,0.62043107
hau,0.70429873,0.6529816,0.47033182,0.60759073,0.6088007
zul,0.6816569,0.63290024,0.48313558,0.6319828,0.6074189
fon,0.69529855,0.5861797,0.49602896,0.64081943,0.6045816
xho,0.67750394,0.7023885,0.44745085,0.5906649,0.6045021
bam,0.7044116,0.60753924,0.51017535,0.5848629,0.6017473
wol,0.70038074,0.616529,0.4557891,0.60759354,0.5950731
mos,0.70440435,0.5662818,0.48454303,0.61478055,0.5925025
bbj,0.68442,0.5481645,0.4525892,0.58349866,0.5671681
yor,0.56317776,0.5787062,0.45092094,0.57985675,0.54316545
