,LOC,ORG,DATE,PER
bam,0.7712201476097107,0.7575466632843018,0.8265016674995422,0.6620225310325623
bbj,0.560128927230835,0.7604555487632751,0.720686137676239,0.6996386051177979
ewe,0.8435624837875366,0.8570179343223572,0.6586709022521973,0.6700456142425537
fon,0.6809084415435791,0.8141412734985352,0.7538076639175415,0.6625142097473145
hau,0.7013826966285706,0.8606774806976318,0.8966252207756042,0.6707445383071899
ibo,0.8173447847366333,0.8819564580917358,0.9164237380027771,0.6950916647911072
kin,0.8999106884002686,0.8877570629119873,0.9081212282180786,0.65703284740448
lug,0.9265628457069397,0.832362949848175,0.8510130047798157,0.6951847076416016
luo,0.8921770453453064,0.8658378720283508,0.8773999214172363,0.6880248785018921
mos,0.7568355798721313,0.8133900761604309,0.6458320617675781,0.6702658534049988
nya,0.8510755896568298,0.8884686827659607,0.873857855796814,0.6755082011222839
pcm,0.8486062288284302,0.8331125974655151,0.6658870577812195,0.6997691988945007
sna,0.7693312764167786,0.8811892867088318,0.9181472659111023,0.6878443956375122
swa,0.9103550910949707,0.8497121930122375,0.8410327434539795,0.66573166847229
tsn,0.7856590151786804,0.874890923500061,0.9028367400169373,0.6710875630378723
twi,0.8674622774124146,0.918913722038269,0.8355371356010437,0.7031168341636658
wol,0.7295569777488708,0.8492398858070374,0.8754425048828125,0.6838497519493103
xho,0.6772050857543945,0.8495937585830688,0.9210200905799866,0.6821287274360657
yor,0.5414251089096069,0.780473530292511,0.7175934910774231,0.5518368482589722
zul,0.7757551670074463,0.8760868906974792,0.8898565173149109,0.6713305711746216
