,PER,LOC,DATE,ORG,Mean
kin,0.8964163661003113,0.9783293008804321,0.9907028675079346,0.9891874194145203,0.9843152188787273
twi,0.9122036099433899,0.9750266671180725,0.9861215353012085,0.9930397272109985,0.9833072373290467
luo,0.9156338572502136,0.9777308106422424,0.9882388710975647,0.9845854043960571,0.982187293323816
ibo,0.8998463749885559,0.9667144417762756,0.9904274940490723,0.9904623627662659,0.9809134251931134
tsn,0.9082188010215759,0.9724481701850891,0.9906420111656189,0.9809021353721619,0.9798972041778315
nya,0.9045481085777283,0.9727093577384949,0.9832950234413147,0.987711489200592,0.9797348878742044
zul,0.8988297581672668,0.9672115445137024,0.9890637993812561,0.9849103093147278,0.9787958949999093
sna,0.9059332609176636,0.9623935222625732,0.9872164130210876,0.9844084978103638,0.9765929505715962
xho,0.8989999294281006,0.959313154220581,0.9924346208572388,0.9825281500816345,0.9765411506291308
ewe,0.9112235903739929,0.9712920188903809,0.9743415117263794,0.9866538643836975,0.9761309837983325
wol,0.8968604207038879,0.9595553874969482,0.9866940975189209,0.9798901081085205,0.9738402674400729
lug,0.8932493925094604,0.9807112216949463,0.9785628318786621,0.9646275639533997,0.9730380983913646
yor,0.8998506665229797,0.9558811187744141,0.9813305139541626,0.9859257936477661,0.9729177994665756
swa,0.9052407741546631,0.9887212514877319,0.9540944695472717,0.976878821849823,0.9718983625274857
mos,0.8959291577339172,0.9653171896934509,0.9661241173744202,0.9860103726387024,0.9709828199903949
bam,0.8902409672737122,0.9695448875427246,0.9795767664909363,0.968015730381012,0.9707685759644104
bbj,0.9048868417739868,0.9522795677185059,0.9752486944198608,0.9835686683654785,0.9690817454281975
fon,0.902847945690155,0.9542598128318787,0.9671030044555664,0.9841983318328857,0.9672326881901111
pcm,0.9128115177154541,0.9745561480522156,0.9506215453147888,0.9752761125564575,0.9657589859432645
hau,0.9079956412315369,0.9200332164764404,0.9660529494285583,0.9789964556694031,0.9541053464210111
