,LOC,DATE,ORG,PER
bam,0.9777535200119019,,0.9662991762161255,0.8935950398445129
bbj,0.9642524719238281,,0.9803299903869629,0.902360737323761
ewe,0.9777081608772278,,0.9835609197616577,0.9197983741760254
fon,0.971621036529541,,0.9856570363044739,0.9113103151321411
hau,0.949223518371582,,0.9759922623634338,0.9178546071052551
ibo,0.9720349311828613,,0.9834983944892883,0.9047330617904663
kin,0.9769059419631958,,0.9852825403213501,0.8928916454315186
lug,0.9667311906814575,,0.9698647856712341,0.8999187350273132
luo,0.976367712020874,,0.976815402507782,0.9030053615570068
mos,0.9783136248588562,,0.986211359500885,0.9136930704116821
nya,0.9753541946411133,,0.9754914045333862,0.9133357405662537
pcm,0.9681358337402344,,0.952732264995575,0.9095919132232666
sna,0.9817586541175842,,0.9797351956367493,0.906043291091919
swa,0.9534980058670044,,0.9580968022346497,0.9125515222549438
tsn,0.9739464521408081,,0.9763648509979248,0.9092872142791748
twi,0.9771689772605896,,0.9905799031257629,0.9165995121002197
wol,0.9692175388336182,,0.9788206219673157,0.9046977758407593
xho,0.9747066497802734,,0.9754455089569092,0.9056186079978943
yor,0.9685474038124084,,0.979069173336029,0.9018111228942871
zul,0.9762583374977112,,0.9843403100967407,0.9110463261604309
