,DATE,LOC,PER,ORG
bam,,0.9989883899688721,0.9993202090263367,0.9992388486862183
bbj,,0.997897207736969,0.9985926151275635,0.997941792011261
ewe,,0.9991779327392578,0.99806809425354,0.9993515610694885
fon,,0.9988431334495544,0.9982225298881531,0.9989564418792725
hau,,0.9983932375907898,0.9990671873092651,0.9984154105186462
ibo,,0.9993194341659546,0.9994578957557678,0.9993484020233154
kin,,0.9980679750442505,0.9990049600601196,0.9994785785675049
lug,,0.9996160864830017,0.9994819164276123,0.9998407363891602
luo,,0.9991174340248108,0.9991483688354492,0.9992688298225403
mos,,0.9991320967674255,0.9987208843231201,0.9990865588188171
nya,,0.9992822408676147,0.9995168447494507,0.9986280798912048
pcm,,0.996880054473877,0.9991779327392578,0.9967789649963379
sna,,0.9981663823127747,0.9991363286972046,0.9982614517211914
swa,,0.997627317905426,0.9990102648735046,0.9984311461448669
tsn,,0.999053955078125,0.9988725185394287,0.999262809753418
twi,,0.999315619468689,0.9994123578071594,0.999416708946228
wol,,0.9991007447242737,0.9991234540939331,0.9991620779037476
xho,,0.9991565942764282,0.9986380934715271,0.9992693066596985
yor,,0.9977332353591919,0.9984639883041382,0.9987098574638367
zul,,0.9991697072982788,0.9987392425537109,0.9993910193443298
