,DATE,ORG,LOC,PER,Mean
lug,,0.9441438913345337,,0.9359807372093201,0.9400623142719269
twi,,0.9485896825790405,0.8955380320549011,0.9563276767730713,0.9334851304690043
hau,,0.9366909861564636,0.848480761051178,0.9551228284835815,0.9134315252304077
sna,,0.9369130730628967,0.8545562624931335,0.9452912211418152,0.9122535188992819
kin,,0.8888917565345764,0.8860464692115784,0.9608074426651001,0.9119152228037516
mos,,0.9232656359672546,0.8767076730728149,0.9276325702667236,0.909201959768931
nya,,0.9130511283874512,0.8551311492919922,0.953469455242157,0.9072172443072001
wol,,0.9098066091537476,0.8617020845413208,0.9414400458335876,0.904316246509552
fon,,0.9227607846260071,0.8649083971977234,0.9138368964195251,0.9005020260810852
ibo,,0.9362700581550598,0.8603659868240356,,0.8983180224895477
pcm,,0.8856053948402405,0.8615260124206543,0.9435522556304932,0.8968945542971293
zul,,0.9262701869010925,0.8501015305519104,0.9086204767227173,0.8949973980585734
luo,,0.8666245937347412,,0.9202691912651062,0.8934468924999237
bam,,0.8765899538993835,0.8811734318733215,0.9211181998252869,0.8929605285326639
ewe,,0.8892495036125183,0.8665133714675903,0.9170136451721191,0.8909255067507426
swa,,0.8623514771461487,0.8812322020530701,0.926382303237915,0.8899886608123779
tsn,,0.9264837503433228,0.8490657806396484,,0.8877747654914856
xho,,0.8955880999565125,0.8314940333366394,0.8866738080978394,0.8712519804636637
bbj,,0.8982442021369934,0.7547164559364319,0.9316914677619934,0.8615507086118063
yor,,0.9092620015144348,0.7240455746650696,,0.8166537880897522
