,ORG,DATE,LOC,PER,Mean
twi,0.9925330877304077,,0.9891568422317505,0.9930756688117981,0.9915885329246521
luo,0.9875236749649048,,0.9851518869400024,0.9856352210044861,0.9861035943031311
kin,0.9846194386482239,,0.984117865562439,0.9863819479942322,0.985039750734965
ewe,0.9864596128463745,,0.9803767204284668,0.9814306497573853,0.9827556610107422
lug,0.9877359867095947,,0.9873402118682861,0.9706220626831055,0.9818994204203287
swa,0.9680584073066711,,0.993404746055603,0.983579695224762,0.9816809495290121
pcm,0.9615880846977234,,0.9836406707763672,0.9938116669654846,0.9796801408131918
tsn,0.9782945513725281,,0.9714363813400269,0.9874773025512695,0.9790694117546082
zul,0.9858734011650085,,0.9602970480918884,0.9691661596298218,0.9717788696289062
sna,0.972126841545105,,0.9570742845535278,0.982942521572113,0.9707145492235819
ibo,0.9841133952140808,,0.9355378150939941,0.991768479347229,0.9704732298851013
wol,0.9819514751434326,,0.9383158087730408,0.9875051975250244,0.9692574938138326
bam,0.9598139524459839,,0.9558254480361938,0.9898557662963867,0.9684983889261881
nya,0.9823017120361328,,0.9276702404022217,0.9953938722610474,0.9684552748998007
mos,0.9847187995910645,,0.9322207570075989,0.9814979434013367,0.9661458333333334
hau,0.9786906242370605,,0.9327569603919983,0.9866002798080444,0.9660159548123678
bbj,0.979672908782959,,0.9266295433044434,0.9872681498527527,0.9645235339800516
fon,0.9875759482383728,,0.9260827302932739,0.9726418852806091,0.9621001879374186
xho,0.9807676076889038,,0.9443823099136353,0.9514080882072449,0.9588526686032613
yor,0.9797259569168091,,0.9134061932563782,0.9699872732162476,0.9543731411298116
