,LOC,ORG,PER,DATE
bam,0.9415489435195923,0.9314469695091248,0.9821377992630005,
bbj,0.8494524359703064,0.9535133242607117,0.9749694466590881,
ewe,0.9582293033599854,0.9526408314704895,0.9625365734100342,
fon,0.9175148010253906,0.9678226113319397,0.9557985067367554,
hau,0.9115620255470276,0.9649595022201538,0.9773030877113342,
ibo,0.9081048965454102,0.969514787197113,0.9829065203666687,
kin,0.9504733085632324,0.9374555349349976,0.9730960130691528,
lug,0.961168646812439,0.9686845541000366,0.961699366569519,
luo,0.9616389870643616,0.936062216758728,0.9683624505996704,
mos,0.9173212051391602,0.9586549997329712,0.9628463387489319,
nya,0.9229270815849304,0.960906445980072,0.988206148147583,
pcm,0.9594264626502991,0.9373835921287537,0.9836143255233765,
sna,0.9060350656509399,0.9498990774154663,0.9705082774162292,
swa,0.9638713598251343,0.9313144087791443,0.976701557636261,
tsn,0.9153236746788025,0.9595305323600769,0.9699339866638184,
twi,0.9653525948524475,0.9776379466056824,0.9846207499504089,
wol,0.9178717136383057,0.9438273906707764,0.9772093296051025,
xho,0.8809747695922852,0.9504059553146362,0.9285796880722046,
yor,0.7717744708061218,0.9528325796127319,0.9145628213882446,
zul,0.9023662209510803,0.9617011547088623,0.9431539177894592,
