,ORG,DATE,PER,LOC
bam,0.755685567855835,0.821197509765625,0.8780852556228638,0.8257384300231934
bbj,0.8258445262908936,0.7269369959831238,0.9060627222061157,0.6339014768600464
ewe,0.8808706998825073,0.6003767848014832,0.907071590423584,0.8471015691757202
fon,0.8703612685203552,0.7668546438217163,0.8937391638755798,0.7470435500144958
hau,0.8879824876785278,0.8996009230613708,0.9013330936431885,0.7322254180908203
ibo,0.8954234719276428,0.9164607524871826,0.9072360992431641,0.8027070164680481
kin,0.9229207038879395,0.906531572341919,0.8889532685279846,0.9117507934570312
lug,0.8733960390090942,0.8613406419754028,0.9805649518966675,0.9227293133735657
luo,0.8901863098144531,0.8738828897476196,0.8857956528663635,0.9062201976776123
mos,0.8540915250778198,0.6957768201828003,0.8745293617248535,0.7788993716239929
nya,0.9212201237678528,0.8698931336402893,0.9275634288787842,0.8839524388313293
pcm,0.8198809027671814,0.5939372777938843,0.9110362529754639,0.9055793285369873
sna,0.8755563497543335,0.9106081128120422,0.9165312051773071,0.7386628985404968
swa,0.8190770149230957,0.8244147300720215,0.8860058784484863,0.9396405220031738
tsn,0.8781535029411316,0.8965669870376587,0.8848587870597839,0.8516215085983276
twi,0.9284745454788208,0.8250213265419006,0.9298757314682007,0.9107179641723633
wol,0.8772463798522949,0.8748273849487305,0.8967204093933105,0.7703804969787598
xho,0.8676736950874329,0.9122524857521057,0.8817301392555237,0.7045378684997559
yor,0.8228181004524231,0.747768759727478,0.7689611911773682,0.6224149465560913
zul,0.8899805545806885,0.8899962902069092,0.8285607099533081,0.8281787633895874
