,LOC,PER,DATE,ORG,Mean
lug,0.6796937,0.6994284,0.5304697,0.65597665,0.6413921
luo,0.57837564,0.6733799,0.5380308,0.66085136,0.61265945
kin,0.56882656,0.6339141,0.56052077,0.6442282,0.60187244
twi,0.5541517,0.64236206,0.5269526,0.6616898,0.59628904
ibo,0.52730596,0.6364157,0.5712009,0.64460665,0.5948823
swa,0.5776057,0.6255903,0.50744003,0.6511669,0.59045076
nya,0.5031263,0.6453502,0.5200899,0.6624733,0.58276
tsn,0.4980026,0.6369125,0.54427946,0.63589734,0.57877296
ewe,0.5711375,0.642177,0.42901003,0.6237608,0.56652135
sna,0.48256195,0.5677242,0.5833349,0.6184467,0.56301695
pcm,0.5486449,0.66636384,0.40256977,0.6223528,0.55998284
wol,0.4609916,0.61846066,0.5387007,0.6142753,0.5581071
fon,0.49050802,0.6152802,0.49943072,0.61945975,0.5561696
hau,0.44977874,0.6253198,0.55604553,0.59053075,0.5554187
bam,0.5314674,0.618834,0.50525194,0.5632814,0.5547087
zul,0.48412105,0.5705527,0.53468776,0.60143584,0.54769933
xho,0.4345168,0.6016993,0.60723174,0.5430178,0.5466164
mos,0.46950793,0.63641393,0.45638555,0.6212582,0.5458914
bbj,0.40760815,0.62765,0.452327,0.5426037,0.5075472
yor,0.38934648,0.49662074,0.48994458,0.4939497,0.4674654
