,LOC,PER,DATE,ORG,Mean
luo,0.9967062473297119,0.9990797638893127,,0.9986106157302856,0.9981322089831034
lug,0.9994530081748962,0.9953378438949585,,0.9987192153930664,0.997836689154307
bam,0.9951092004776001,0.998360276222229,,0.9990538954734802,0.9975077907244364
twi,0.9995136260986328,0.993608832359314,,0.9984909296035767,0.9972044626871744
kin,0.9948686361312866,0.9946351051330566,,0.9981860518455505,0.995896597703298
fon,0.9944526553153992,0.9872589707374573,,0.9980924129486084,0.9932680130004883
hau,0.997214138507843,0.9828258752822876,,0.9990671277046204,0.9930357138315836
ibo,0.9825762510299683,0.9954925179481506,,0.9985683560371399,0.9922123750050863
zul,0.9957413077354431,0.9910993576049805,,0.988686203956604,0.9918422897656759
nya,0.9946265816688538,0.9990938901901245,,0.9812027215957642,0.9916410644849142
swa,0.9970616698265076,0.9975451231002808,,0.9759535789489746,0.9901867906252543
wol,0.9949528574943542,0.9859551787376404,,0.9824203252792358,0.9877761205037435
pcm,0.9821880459785461,0.9969691634178162,,0.9839074015617371,0.9876882036526998
xho,0.9845778942108154,0.993925929069519,,0.9820895195007324,0.986864447593689
sna,0.977479100227356,0.9988225698471069,,0.9812728762626648,0.9858581821123759
mos,0.9944732785224915,0.9619014859199524,,0.99965500831604,0.9853432575861613
bbj,0.9580304026603699,0.9955328702926636,,0.9991721510887146,0.9842451413472494
ewe,0.9873350858688354,0.9630328416824341,,0.9986209273338318,0.9829962849617004
yor,0.974084734916687,0.9921916723251343,,0.9776099920272827,0.9812954664230347
tsn,0.9869435429573059,0.9711098074913025,,0.9852178692817688,0.9810904065767924
