,DATE,LOC,PER,ORG
bam,0.9999990463256836,0.9999939799308777,0.9999985098838806,0.9999985098838806
bbj,0.9999880790710449,0.999998927116394,0.999999463558197,0.9999878406524658
ewe,0.9999675154685974,0.9999974370002747,0.9999988079071045,0.9999988675117493
fon,0.9999982714653015,0.999990701675415,0.9999957084655762,0.9999992847442627
hau,0.999993622303009,0.9999829530715942,0.9999850988388062,0.9999971985816956
ibo,0.9999962449073792,0.9999949336051941,0.9999962449073792,0.9999943375587463
kin,0.9999985694885254,0.9999967813491821,0.9999987483024597,0.9999991655349731
lug,0.9999987483024597,0.9999991655349731,0.9999991059303284,0.9999897480010986
luo,0.9999929070472717,0.9999949932098389,0.9999980330467224,0.9999997019767761
mos,0.9999989867210388,0.9999871253967285,0.9999990463256836,0.9999993443489075
nya,0.9999939799308777,0.9999815225601196,0.9999970197677612,0.9999994039535522
pcm,0.9999982118606567,0.9999960064888,0.9999644756317139,0.9999936819076538
sna,0.9999971389770508,0.9999980330467224,0.9999991059303284,0.999998152256012
swa,0.9999833106994629,0.9999955892562866,0.9999959468841553,0.9999949932098389
tsn,0.9999971985816956,0.9999865889549255,0.9999982118606567,0.9999983906745911
twi,0.9999923706054688,0.999998927116394,0.9999964833259583,0.9999992847442627
wol,0.9999986290931702,0.9999880790710449,0.9999997019767761,0.9999976754188538
xho,0.9999975562095642,0.9999940395355225,0.9999992847442627,0.9999951720237732
yor,0.9999983310699463,0.9999949932098389,0.9999901652336121,0.9999995827674866
zul,0.9999966621398926,0.9999901056289673,0.9999983906745911,0.9999974966049194
