,ORG,DATE,PER,LOC
bam,0.7669897675514221,0.7890291810035706,0.6435112357139587,0.7459700107574463
bbj,0.7578149437904358,0.6955334544181824,0.6879827976226807,0.5185356140136719
ewe,0.8541821241378784,0.565974771976471,0.6564965844154358,0.8045313954353333
fon,0.8056414127349854,0.7591469883918762,0.6529721617698669,0.6566469073295593
hau,0.8688715100288391,0.8828275203704834,0.6597098708152771,0.6889066100120544
ibo,0.8778128027915955,0.9072670936584473,0.6598840355873108,0.7944365739822388
kin,0.8912782073020935,0.8941437005996704,0.6457573771476746,0.8813107013702393
lug,0.8549334406852722,0.782935380935669,0.6824609041213989,0.9026147723197937
luo,0.8606730103492737,0.8710473775863647,0.6763700842857361,0.8721710443496704
mos,0.8229919075965881,0.6012904047966003,0.6638779044151306,0.7321977019309998
nya,0.8823722004890442,0.8638332486152649,0.6836154460906982,0.8262563347816467
pcm,0.8151494264602661,0.5765779614448547,0.679429829120636,0.8028584718704224
sna,0.886587381362915,0.9189370274543762,0.6707930564880371,0.7317535281181335
swa,0.841827392578125,0.797157883644104,0.6636682152748108,0.8737073540687561
tsn,0.8577290773391724,0.8804125189781189,0.6592890024185181,0.7498008012771606
twi,0.9216603636741638,0.8131607174873352,0.6864529848098755,0.8371669054031372
wol,0.8514460921287537,0.860293447971344,0.670876145362854,0.6977282762527466
xho,0.8511418700218201,0.9234203696250916,0.6673711538314819,0.6226543188095093
yor,0.7856659293174744,0.7136842012405396,0.5430628657341003,0.505620002746582
zul,0.8788169026374817,0.8809894919395447,0.6623561978340149,0.7565981149673462
