,DATE,LOC,ORG,PER
bam,,0.9712207913398743,0.9574755430221558,
bbj,,0.9390982389450073,0.9611475467681885,0.973795473575592
ewe,,,0.9754372239112854,0.9797648191452026
fon,,0.9673680663108826,0.9658634066581726,0.9725534319877625
hau,,0.9762442708015442,0.9847344756126404,0.9916697144508362
ibo,,0.9785832166671753,0.9777507185935974,
kin,,0.9775742292404175,0.9862806797027588,0.9924473166465759
lug,,,0.9907125234603882,0.9917755722999573
luo,,,0.9763780236244202,0.9859383702278137
mos,,0.9638372659683228,0.9784926176071167,0.9858399629592896
nya,,0.9793910384178162,0.987481951713562,0.9904061555862427
pcm,,0.9396640062332153,0.9490537643432617,0.9771137237548828
sna,,0.9800276160240173,0.9879410266876221,0.9885334968566895
swa,,0.9615594744682312,0.9551428556442261,0.9794890284538269
tsn,,0.9738782048225403,0.9810691475868225,
twi,,0.9725542068481445,0.985639214515686,0.9882084727287292
wol,,0.9685059785842896,0.9755630493164062,0.9839584231376648
xho,,0.9741812944412231,,0.9796685576438904
yor,,0.9483839869499207,0.9559084177017212,
zul,,0.9718732833862305,,0.9882000684738159
