,LOC,ORG,PER,DATE,Mean
lug,0.9999426007270813,0.9995587468147278,0.9998611211776733,,0.9997874895731608
bam,0.9994284510612488,0.9983517527580261,0.9998003840446472,,0.999193529287974
fon,0.9992846250534058,0.99837726354599,0.9991204738616943,,0.9989274541536967
kin,0.9983066916465759,0.99908447265625,0.9993262887001038,,0.9989058176676432
ibo,0.9972929358482361,0.9995179176330566,0.9996606707572937,,0.9988238414128622
twi,0.9999611973762512,0.9967109560966492,0.9989277124404907,,0.998533288637797
sna,0.9979090094566345,0.9976454973220825,0.9998757243156433,,0.9984767436981201
nya,0.9990977048873901,0.9958202838897705,0.9999343156814575,,0.998284101486206
hau,0.9993367195129395,0.9990777373313904,0.996169924736023,,0.9981947938601176
pcm,0.9992197751998901,0.9954507350921631,0.9995880722999573,,0.9980861941973368
bbj,0.9965364933013916,0.9970400333404541,0.9996179938316345,,0.9977315068244934
luo,0.9995648860931396,0.9934107065200806,0.9998444318771362,,0.9976066748301188
mos,0.9990023374557495,0.9993934631347656,0.994230329990387,,0.9975420435269674
xho,0.9981450438499451,0.9948348999023438,0.9993085861206055,,0.9974295099576315
wol,0.9992848634719849,0.9938607215881348,0.9985929727554321,,0.9972461859385172
zul,0.999384343624115,0.9930608868598938,0.9989919662475586,,0.9971457322438558
swa,0.999902606010437,0.991545557975769,0.9999036192893982,,0.997117261091868
ewe,0.9980015754699707,0.9988273978233337,0.9925804138183594,,0.9964697957038879
yor,0.9960671067237854,0.9936097860336304,0.9996073246002197,,0.9964280724525452
tsn,0.9986071586608887,0.9965413808822632,0.9939807653427124,,0.9963764349619547
