,DATE,PER,ORG,LOC,Mean
lug,0.9575263,0.93901527,0.97295296,0.989439,0.96473336
twi,0.97111124,0.9343682,0.9809687,0.9508805,0.95933217
kin,0.97715247,0.93028146,0.9769952,0.94535524,0.9574461
luo,0.9774235,0.9201454,0.98210716,0.9445547,0.95605767
swa,0.9635182,0.92458576,0.9819253,0.9526721,0.95567536
ibo,0.98043996,0.9297815,0.9678931,0.9200744,0.9495473
ewe,0.92901254,0.9453978,0.9749918,0.93442565,0.94595695
tsn,0.9758071,0.9310623,0.97976756,0.87665415,0.9408228
sna,0.98597276,0.93036413,0.9796424,0.866976,0.94073886
zul,0.9792925,0.9553019,0.96522844,0.8624467,0.9405674
bam,0.9640362,0.9390134,0.952397,0.89656395,0.9380027
hau,0.98323834,0.9529351,0.9650866,0.8442074,0.9363668
nya,0.95121735,0.9154805,0.9790056,0.8962752,0.93549466
fon,0.95185894,0.9482987,0.9726621,0.8641957,0.93425393
xho,0.9937633,0.96098316,0.94933194,0.8090913,0.92829245
wol,0.9712485,0.9532461,0.96031356,0.82528675,0.92752373
mos,0.92126966,0.94001627,0.96780884,0.86067617,0.9224428
pcm,0.8193833,0.9433284,0.9670398,0.94400287,0.9184386
bbj,0.91504335,0.9399644,0.9519571,0.8074141,0.90359473
yor,0.94591856,0.8696975,0.9301686,0.7836617,0.88236165
