,LOC,ORG,PER,DATE,Mean
lug,0.6796937,0.65597665,0.70108783,0.5304697,0.64180696
luo,0.57837564,0.66085136,0.67338276,0.5380308,0.61266017
kin,0.56882656,0.6442282,0.6330174,0.56052077,0.6016482
twi,0.5541517,0.6616898,0.6422626,0.5269526,0.5962642
ibo,0.52730596,0.64460665,0.636616,0.5712009,0.5949324
swa,0.5776057,0.6511669,0.6251448,0.50744003,0.59033936
nya,0.5031263,0.6624733,0.64569426,0.5200899,0.5828459
tsn,0.4980026,0.63589734,0.6360635,0.54427946,0.5785607
ewe,0.5711375,0.6237608,0.6419576,0.42901003,0.56646645
sna,0.48256195,0.6184467,0.5679856,0.5833349,0.5630823
pcm,0.5486449,0.6223528,0.666253,0.40256977,0.5599551
wol,0.4609916,0.6142753,0.61789656,0.5387007,0.557966
fon,0.49050802,0.61945975,0.61508954,0.49943072,0.556122
hau,0.44977874,0.59053075,0.62511635,0.55604553,0.5553678
bam,0.5314674,0.5632814,0.6190498,0.50525194,0.5547626
zul,0.48412105,0.60143584,0.57032347,0.53468776,0.547642
xho,0.4345168,0.5430178,0.6008999,0.60723174,0.5464165
mos,0.46950793,0.6212582,0.6363639,0.45638555,0.54587895
bbj,0.40760815,0.5426037,0.62711257,0.452327,0.50741285
yor,0.38934648,0.4939497,0.4965428,0.48994458,0.46744588
