,LOC,PER,DATE,ORG,Mean
lug,,0.9873570799827576,,0.9846269488334656,0.9859920144081116
kin,0.9655141234397888,0.9850448966026306,,0.9815447926521301,0.9773679375648499
nya,0.9671003818511963,0.9834691286087036,,0.9804574251174927,0.9770089785257975
sna,0.9665924310684204,0.9808648824691772,,0.9831659197807312,0.9768744111061096
hau,0.9641069173812866,0.9828287959098816,,0.9768460392951965,0.9745939175287882
mos,,0.9709570407867432,,0.9662632942199707,0.9686101675033569
tsn,0.9574159979820251,,,0.9745032787322998,0.9659596383571625
luo,,0.9691566824913025,,0.9626030921936035,0.965879887342453
zul,0.9512482285499573,0.9784922003746033,,,0.9648702144622803
twi,0.9501552581787109,0.9736971259117126,,0.9686965942382812,0.964182992776235
xho,0.9622036814689636,0.9647600650787354,,,0.9634818732738495
wol,0.9527873992919922,0.9692322015762329,,0.9676211476325989,0.963213582833608
ibo,0.9645010232925415,,,0.9615397453308105,0.963020384311676
ewe,,0.9630934596061707,,0.9558176398277283,0.9594555497169495
swa,0.9520907998085022,0.9677448272705078,,0.9499807953834534,0.9566054741541544
yor,0.9325157403945923,,,0.9502838850021362,0.9413998126983643
bam,0.9508007168769836,,,0.9202628135681152,0.9355317652225494
pcm,0.9006227850914001,0.960300087928772,,,0.9304614365100861
fon,0.9316642880439758,0.9440757036209106,,0.9131999015808105,0.929646631081899
bbj,0.8250938653945923,,,0.9078143835067749,0.8664541244506836
