,ORG,PER,LOC,DATE,Mean
luo,0.9869805574417114,0.986956775188446,0.9900441765785217,0.9840484857559204,0.9870074987411499
kin,0.9928882718086243,0.9854618906974792,0.9898526072502136,0.9791819453239441,0.9868461787700653
twi,0.9928710460662842,0.990354597568512,0.9916151165962219,0.9725332856178284,0.9868435114622116
tsn,0.9818522930145264,0.9912034273147583,0.985255241394043,0.9810416102409363,0.984838142991066
lug,0.9765903353691101,0.9958965182304382,0.991973876953125,0.9691982269287109,0.9834147393703461
nya,0.9878453016281128,0.9908739328384399,0.9798034429550171,0.9710042476654053,0.9823817312717438
ibo,0.990718424320221,0.9849725961685181,0.9642787575721741,0.9885022044181824,0.9821179956197739
zul,0.9861924052238464,0.9874579906463623,0.9736409187316895,0.9767138957977295,0.9810013025999069
ewe,0.9896921515464783,0.9908069372177124,0.9764134287834167,0.9664101004600525,0.980830654501915
wol,0.9814094305038452,0.9864000082015991,0.971010148525238,0.9803531765937805,0.9797931909561157
sna,0.9849744439125061,0.9890806078910828,0.9631102681159973,0.9749393463134766,0.9780261665582657
pcm,0.9839812517166138,0.9930380582809448,0.9893399477005005,0.9441172480583191,0.9776191264390945
hau,0.9817243218421936,0.9862661957740784,0.9749710559844971,0.9672529101371765,0.9775536209344864
bam,0.9665825963020325,0.9860361814498901,0.9816713929176331,0.9745436906814575,0.9772084653377533
xho,0.9783509969711304,0.9859975576400757,0.9602696895599365,0.9815495610237122,0.9765419512987137
mos,0.9879063367843628,0.9827257990837097,0.9707568287849426,0.9636045694351196,0.9762483835220337
swa,0.9764319658279419,0.9908240437507629,0.9945711493492126,0.9400842189788818,0.9754778444766998
fon,0.9836490750312805,0.9835352301597595,0.9667769074440002,0.9670526385307312,0.9752534627914429
yor,0.9882684946060181,0.9805513620376587,0.9521982669830322,0.9749467968940735,0.9739912301301956
bbj,0.9833100438117981,0.9886003136634827,0.9552281498908997,0.9683820605278015,0.9738801419734955
