,ORG,PER,LOC,DATE,Mean
kin,0.9878666400909424,0.8658677339553833,0.9801292419433594,0.9881036281585693,0.9834846330127065
twi,0.9917985200881958,0.8728342652320862,0.9715552926063538,0.9822237491607666,0.9801422593787587
ibo,0.9895192980766296,0.8677657246589661,0.9677325487136841,0.9881273508071899,0.9799973597050965
luo,0.9851279854774475,0.8802703022956848,0.9766389727592468,0.9810799360275269,0.9793634740073537
tsn,0.9820742011070251,0.8731998205184937,0.9627861976623535,0.9890366196632385,0.9763158168692602
sna,0.9828392267227173,0.8725895285606384,0.9616105556488037,0.9887973070144653,0.9760929746577746
zul,0.9875394701957703,0.8669444918632507,0.9591699242591858,0.9866703152656555,0.9760475870505405
nya,0.9861425161361694,0.8715581893920898,0.9644232392311096,0.9771525263786316,0.9742628198283239
ewe,0.9861787557601929,0.8785820007324219,0.9675359725952148,0.9655852317810059,0.9716115144919848
xho,0.9818015694618225,0.8633994460105896,0.9488402009010315,0.9886655211448669,0.9713748244475817
wol,0.9795124530792236,0.8593441843986511,0.9483593702316284,0.9833074808120728,0.9686442995321719
bam,0.9706125259399414,0.8600595593452454,0.9588037133216858,0.9775123596191406,0.9672609769453214
lug,0.9572053551673889,0.8665087819099426,0.9799467325210571,0.9649325609207153,0.9657733169753407
swa,0.9745415449142456,0.8722128868103027,0.9839074015617371,0.9375724196434021,0.9638738794902492
bbj,0.9815564155578613,0.8728762269020081,0.9400044083595276,0.9692633152008057,0.9621791988220114
yor,0.9803118705749512,0.8617867827415466,0.9346948266029358,0.9733838438987732,0.9612061373517895
pcm,0.9763748049736023,0.8802074790000916,0.9672319293022156,0.9414673447608948,0.9604081489595528
fon,0.981067955493927,0.8671689629554749,0.9262503981590271,0.9569135308265686,0.9533648276579348
mos,0.9818394184112549,0.874210774898529,0.9520478248596191,0.9288097023963928,0.9529721334850382
hau,0.970600962638855,0.8757755160331726,0.9231358766555786,0.960016667842865,0.9500625760849379
