,ORG,PER,LOC,DATE,Mean
kin,0.9891874194145203,0.9018778204917908,0.9848276376724243,0.9907028675079346,0.9868792847698442
twi,0.9930397272109985,0.9098155498504639,0.9750266671180725,0.9863321781158447,0.9836186741593629
luo,0.9848279356956482,0.9134041666984558,0.9795618653297424,0.9881561994552612,0.9830673886096384
tsn,0.9813596606254578,0.9089292287826538,0.9726081490516663,0.9902188181877136,0.9802543408288731
zul,0.9879555702209473,0.8988297581672668,0.9672115445137024,0.9890637993812561,0.9801098236574588
ibo,0.990666925907135,0.8998463749885559,0.9616456627845764,0.9904071688652039,0.9796300470985453
sna,0.9844084978103638,0.9059332609176636,0.9696725606918335,0.9872164130210876,0.9792592742937444
nya,0.9882240295410156,0.9045481085777283,0.9727093577384949,0.9792084693908691,0.9788583221398001
ewe,0.9866538643836975,0.9112235903739929,0.975372314453125,0.9743415117263794,0.9777252043638955
xho,0.9832891821861267,0.8989999294281006,0.959313154220581,0.9924346208572388,0.9770961134765405
wol,0.9824123382568359,0.8968604207038879,0.9595553874969482,0.9865398406982422,0.9749202318391775
bam,0.9739260673522949,0.8902409672737122,0.9692527651786804,0.9816270470619202,0.9736015242854441
yor,0.9870695471763611,0.8998506665229797,0.9528573155403137,0.9818699359893799,0.9727656268698024
swa,0.9786661863327026,0.904826819896698,0.9887212514877319,0.9541123509407043,0.9727465472822114
lug,0.9668982625007629,0.8863683342933655,0.9807112216949463,0.9711134433746338,0.9715448187717929
bbj,0.9834941625595093,0.9085999131202698,0.9516513347625732,0.9755294919013977,0.9692545226552668
mos,0.9849612712860107,0.8953354954719543,0.9653171896934509,0.9583919644355774,0.9683879688968808
pcm,0.9799622893333435,0.9128115177154541,0.9745561480522156,0.9506215453147888,0.9675049001150556
fon,0.9829967021942139,0.9036345481872559,0.9542598128318787,0.9669355750083923,0.9670493925024518
hau,0.9789964556694031,0.9079956412315369,0.9200332164764404,0.9661873579025269,0.954330977961773
