,ORG,LOC,DATE,PER,Mean
twi,0.9858026504516602,0.9608409404754639,0.9700525999069214,0.9708477258682251,0.9718859791755676
kin,0.9835214614868164,0.9643456339836121,0.9620651006698608,0.9686985015869141,0.9696576744318008
luo,0.974376380443573,0.9553375840187073,0.9700648784637451,0.969013512134552,0.9671980887651443
nya,0.984334409236908,0.9508851766586304,0.9601902961730957,0.9725549817085266,0.9669912159442902
sna,0.9791121482849121,0.9480869174003601,0.9660114645957947,0.974266529083252,0.9668692648410797
ewe,0.9795434474945068,0.9546582698822021,0.9525134563446045,0.9723904132843018,0.9647763967514038
tsn,0.9666125774383545,0.94855797290802,0.9666275978088379,0.9754579663276672,0.9643140286207199
ibo,0.9831787347793579,0.9295357465744019,0.9775776267051697,0.9661276340484619,0.9641049355268478
zul,0.9805147647857666,0.9429624676704407,0.9630934596061707,0.9692280292510986,0.9639496803283691
lug,0.9487302899360657,0.9639984965324402,0.9514864683151245,0.9907822012901306,0.9637493640184402
wol,0.9740779995918274,0.9344568848609924,0.9719282388687134,0.964324951171875,0.961197018623352
xho,0.9684773087501526,0.9324129223823547,0.964977502822876,0.9650935530662537,0.9577403217554092
fon,0.9741547107696533,0.9202945828437805,0.9566223621368408,0.9669490456581116,0.9545051753520966
mos,0.9770949482917786,0.9305998682975769,0.9251336455345154,0.9682309031486511,0.9502648413181305
bam,0.9548186659812927,0.9324246048927307,0.9589509963989258,0.9477406144142151,0.9484837204217911
swa,0.9582366943359375,0.9598099589347839,0.8990381360054016,0.9753432869911194,0.9481070190668106
bbj,0.9695190787315369,0.8989853858947754,0.9537585973739624,0.9671825170516968,0.9473613947629929
yor,0.9740432500839233,0.9007536768913269,0.9612181186676025,0.9520952105522156,0.9470275640487671
pcm,0.9570997953414917,0.9486902356147766,0.8990731239318848,0.9757910370826721,0.9451635479927063
hau,0.9633423089981079,0.8978644609451294,0.9327670335769653,0.964486300945282,0.9396150261163712
