,LOC,DATE,ORG,PER
bam,0.9999959468841553,,0.9999939799308777,0.9999527335166931
bbj,0.9999697804450989,,0.9999873042106628,0.9999473094940186
ewe,0.999994695186615,,0.9999955892562866,0.9999555349349976
fon,0.9999939203262329,,0.9999909996986389,0.9999473094940186
hau,0.9999904632568359,,0.9999947547912598,0.9999464750289917
ibo,0.999990701675415,,0.9999959468841553,0.9999356269836426
kin,0.9999877214431763,,0.999995231628418,0.999923586845398
lug,0.999974250793457,,0.9999892711639404,0.9999502301216125
luo,0.9999704360961914,,0.9999788999557495,0.9999432563781738
mos,0.9999809861183167,,0.9999942779541016,0.9999537467956543
nya,0.9999968409538269,,0.9999938011169434,0.9999605417251587
pcm,0.9999426007270813,,0.999927282333374,0.9998716115951538
sna,0.999994158744812,,0.9999917149543762,0.9999438524246216
swa,0.9999878406524658,,0.9999806880950928,0.9999176263809204
tsn,0.9999709725379944,,0.9999802112579346,0.9999366998672485
twi,0.9999831318855286,,0.999992311000824,0.999934732913971
wol,0.9999936819076538,,0.999983549118042,0.9999428987503052
xho,0.9999977350234985,,0.9999932050704956,0.9999499320983887
yor,0.9999969601631165,,0.9999950528144836,0.9999593496322632
zul,0.9999980330467224,,0.9999979138374329,0.9999622702598572
