,LOC,DATE,ORG,PER
bam,0.9999909996986389,0.9999901652336121,0.9999910593032837,0.999987781047821
bbj,0.999991238117218,0.9999864101409912,0.9999912977218628,0.9999885559082031
ewe,0.9999940991401672,0.9999882578849792,0.9999911189079285,0.999986469745636
fon,0.9999914765357971,0.9999838471412659,0.9999886155128479,0.9999834299087524
hau,0.9999958872795105,0.999989926815033,0.9999918937683105,0.9999923706054688
ibo,0.9999953508377075,0.9999939203262329,0.9999904036521912,0.9999884366989136
kin,0.9999985694885254,0.9999977350234985,0.9999959468841553,0.9999918341636658
lug,0.9999960660934448,0.9999967217445374,0.9999975562095642,0.9999943375587463
luo,0.9999975562095642,0.9999958872795105,0.9999881982803345,0.9999905824661255
mos,0.9999947547912598,0.9999877214431763,0.9999942779541016,0.9999884963035583
nya,0.9999973177909851,0.999995231628418,0.9999959468841553,0.999993085861206
pcm,0.9999901056289673,0.9999740123748779,0.9999827742576599,0.9999829530715942
sna,0.9999942183494568,0.9999942183494568,0.999996542930603,0.9999914765357971
swa,0.999992311000824,0.9999841451644897,0.9999839663505554,0.9999899864196777
tsn,0.9999958872795105,0.9999954104423523,0.9999904036521912,0.9999897480010986
twi,0.9999945163726807,0.9999924302101135,0.9999916553497314,0.9999883770942688
wol,0.9999953508377075,0.9999958872795105,0.9999918341636658,0.9999898076057434
xho,0.9999949932098389,0.9999960064888,0.9999957084655762,0.9999919533729553
yor,0.9999903440475464,0.9999867081642151,0.9999901056289673,0.9999885559082031
zul,0.9999963045120239,0.9999955892562866,0.9999954700469971,0.9999942183494568
