,DATE,PER,LOC,ORG
bam,0.9601942896842957,0.8422949910163879,0.9300442934036255,0.8721257448196411
bbj,0.8817231059074402,0.8592439293861389,0.8339754939079285,0.9249539971351624
ewe,0.8187511563301086,0.8485237956047058,0.9141215682029724,0.9525622129440308
fon,0.9046258330345154,0.8524985909461975,0.9234573841094971,0.9465367197990417
hau,0.9564939737319946,0.8603265285491943,0.9130308032035828,0.9540021419525146
ibo,0.9727781414985657,0.8522351980209351,0.9283939003944397,0.9529224634170532
kin,0.969482958316803,0.8560272455215454,0.9224686026573181,0.9550923109054565
lug,0.9435694217681885,0.8214764595031738,0.9039546847343445,0.9574118852615356
luo,0.9610381126403809,0.850832462310791,0.9381109476089478,0.9522382020950317
mos,0.8743700385093689,0.8529515266418457,0.9205514788627625,0.9465276598930359
nya,0.9595348238945007,0.8695257902145386,0.926669716835022,0.9436290264129639
pcm,0.8114401698112488,0.855708658695221,0.9252498745918274,0.9063262343406677
sna,0.9714305400848389,0.8579781651496887,0.9154811501502991,0.9479785561561584
swa,0.9281348586082458,0.8389265537261963,0.9052041172981262,0.9079826474189758
tsn,0.963651716709137,0.8600066304206848,0.920051634311676,0.9376983046531677
twi,0.9431179165840149,0.8675747513771057,0.9307469725608826,0.9662321209907532
wol,0.9454279541969299,0.8653906583786011,0.8969714045524597,0.9413757920265198
xho,0.9462299346923828,0.8417613506317139,0.8971616625785828,0.9420987367630005
yor,0.911470353603363,0.8047782778739929,0.8509652614593506,0.9246702194213867
zul,0.9645389318466187,0.8514626026153564,0.9361188411712646,0.9482004642486572
