,PER,LOC,DATE,ORG,Mean
ibo,0.9999809861183167,0.9999896883964539,,0.9999954104423523,0.9999886949857076
kin,0.9999930262565613,0.9999902844429016,,0.9999813437461853,0.9999882181485494
ewe,0.9999790787696838,0.9999951720237732,,0.9999830722808838,0.9999857743581136
hau,0.9999704360961914,0.9999887943267822,,0.9999935030937195,0.9999842445055643
twi,0.9999675154685974,0.9999935626983643,,0.9999909996986389,0.9999840259552002
pcm,0.9999871850013733,0.9999884963035583,,0.9999762177467346,0.9999839663505554
lug,0.999981701374054,0.9999909400939941,,0.999972939491272,0.9999818603197733
wol,0.999963641166687,0.9999841451644897,,0.9999913573265076,0.9999797145525614
swa,0.9999606609344482,0.9999956488609314,,0.9999827146530151,0.9999796748161316
mos,0.9999454021453857,0.9999932646751404,,0.9999949932098389,0.9999778866767883
luo,0.9999728202819824,0.9999754428863525,,0.9999818205833435,0.9999766945838928
fon,0.9999719858169556,0.9999727010726929,,0.9999748468399048,0.9999731779098511
nya,0.9999966621398926,0.9999322891235352,,0.9999905228614807,0.9999731580416361
xho,0.9999863505363464,0.999957799911499,,0.9999712109565735,0.9999717871348063
tsn,0.9999322295188904,0.9999837875366211,,0.999990701675415,0.9999689062436422
zul,0.9999915957450867,0.9999834299087524,,0.9999257922172546,0.9999669392903646
yor,0.9999716877937317,0.9999039173126221,,0.9999933242797852,0.9999563097953796
sna,0.9999600648880005,0.999934732913971,,0.9999615550041199,0.9999521176020304
bbj,0.9999375939369202,0.9999475479125977,,0.9999569058418274,0.9999473492304484
bam,0.9999929666519165,0.9999850392341614,,0.999830424785614,0.9999361435572306
