aux_code,aux_name,S_script,S_locale,S_geo,S_total,distance_km
lug,Luganda,1.0,1.0,0.8038956610225975,0.9346318870075324,218.28579307217035
kin,Kinyarwanda,1.0,0.0,0.8532936139237876,0.6177645379745957,158.65157744300723
swa,Swahili,1.0,0.2,0.5073538218099725,0.5691179406033241,678.5466453989039
luo,Luo (Dholuo),1.0,0.0,0.6431686596044053,0.5477228865348017,441.34828804393743
twi,Twi,1.0,0.0,,0.5,
nya,Nyanja (Chichewa),1.0,0.0,0.21472199716031232,0.40490733238677074,1538.4111240111135
sna,Shona,1.0,0.0,0.1550584850658132,0.3850194950219377,1863.9529102260672
bbj,Ghomala,1.0,0.0,0.09677704247894929,0.3655923474929831,2335.3454773012113
ibo,Igbo,1.0,0.0,0.07058754249968195,0.3568625141665606,2650.901601898264
tsn,Tswana (Setswana),1.0,0.0,0.05907389740618934,0.3530246324687298,2828.9661203882238
yor,Yoruba,1.0,0.0,0.0450933670198188,0.3483644556732729,3099.0201160210495
pcm,Nigerian Pidgin (Naija),1.0,0.0,0.04394373710836827,0.34798124570278943,3124.8451653835186
hau,Hausa,1.0,0.0,0.04068341608382697,0.3468944720279423,3201.9347367987543
zul,Zulu,1.0,0.0,0.03878672636516697,0.3462622421217223,3249.677194874371
fon,Fon,1.0,0.0,0.03637880169295622,0.34545960056431874,3313.7690450559735
ewe,Ewe,1.0,0.0,0.03306768836580312,0.34435589612193435,3409.198655677389
xho,Xhosa,1.0,0.0,0.03304848571358778,0.34434949523786257,3409.779531779876
mos,Mossi (Mooré),1.0,0.0,0.02284001842164699,0.34094667280721563,3779.2410876426834
bam,Bambara,1.0,0.0,0.011494043670374475,0.33716468122345816,4465.926319497638
wol,Wolof,1.0,0.0,0.004797883505638652,0.3349326278352129,5339.5803946345795
