aux_code,aux_name,S_script,S_locale,S_geo,S_total,distance_km,group
kin,Kinyarwanda,1.0,0.0,0.8532936139237876,0.8532936139237876,158.65157744300723,2
lug,Luganda,1.0,1.0,0.8038956610225975,0.8038956610225975,218.28579307217035,1
luo,Luo (Dholuo),1.0,0.0,0.6431686596044053,0.6431686596044053,441.34828804393743,2
swa,Swahili,1.0,0.2,0.5073538218099725,0.5073538218099725,678.5466453989039,2
twi,Twi,1.0,0.0,,0.5,,0
nya,Nyanja (Chichewa),1.0,0.0,0.21472199716031232,0.21472199716031232,1538.4111240111135,0
sna,Shona,1.0,0.0,0.1550584850658132,0.1550584850658132,1863.9529102260672,0
bbj,Ghomala,1.0,0.0,0.09677704247894929,0.09677704247894929,2335.3454773012113,0
ibo,Igbo,1.0,0.0,0.07058754249968195,0.07058754249968195,2650.901601898264,0
tsn,Tswana (Setswana),1.0,0.0,0.05907389740618934,0.05907389740618934,2828.9661203882238,0
yor,Yoruba,1.0,0.0,0.0450933670198188,0.0450933670198188,3099.0201160210495,0
pcm,Nigerian Pidgin (Naija),1.0,0.0,0.04394373710836827,0.04394373710836827,3124.8451653835186,0
hau,Hausa,1.0,0.0,0.04068341608382697,0.04068341608382697,3201.9347367987543,0
zul,Zulu,1.0,0.0,0.03878672636516697,0.03878672636516697,3249.677194874371,0
fon,Fon,1.0,0.0,0.03637880169295622,0.03637880169295622,3313.7690450559735,0
ewe,Ewe,1.0,0.0,0.03306768836580312,0.03306768836580312,3409.198655677389,0
xho,Xhosa,1.0,0.0,0.03304848571358778,0.03304848571358778,3409.779531779876,0
mos,Mossi (Mooré),1.0,0.0,0.02284001842164699,0.02284001842164699,3779.2410876426834,0
bam,Bambara,1.0,0.0,0.011494043670374475,0.011494043670374475,4465.926319497638,0
wol,Wolof,1.0,0.0,0.004797883505638652,0.004797883505638652,5339.5803946345795,0
