,PER,LOC,ORG,DATE
bam,0.9832570552825928,0.9550667405128479,0.968707263469696,0.9702429175376892
bbj,0.9847578406333923,0.9330973625183105,0.9834524989128113,0.9668529629707336
ewe,0.987315833568573,0.9656251072883606,0.9871102571487427,0.9642706513404846
fon,0.9877458214759827,0.9360231161117554,0.9860178232192993,0.9614230394363403
hau,0.9866199493408203,0.9379539489746094,0.9789981245994568,0.9557282328605652
ibo,0.9864875674247742,0.949345052242279,0.9861990809440613,0.9889749884605408
kin,0.9838077425956726,0.9747395515441895,0.9909638166427612,0.9847728610038757
lug,0.9966644644737244,0.9776374697685242,0.9636347889900208,0.9669643044471741
luo,0.9841358065605164,0.9737381935119629,0.982754111289978,0.9824246764183044
mos,0.9879137873649597,0.9513835310935974,0.9876613616943359,0.9570559859275818
nya,0.9913877248764038,0.9657081961631775,0.9903180003166199,0.9780541062355042
pcm,0.9908732175827026,0.9741182327270508,0.9619026184082031,0.9270966053009033
sna,0.9880203008651733,0.9483040571212769,0.9862867593765259,0.9847443103790283
swa,0.9838081002235413,0.9834842681884766,0.971760094165802,0.9302461743354797
tsn,0.9873443245887756,0.9633573293685913,0.9805071353912354,0.9832086563110352
twi,0.9888610243797302,0.9772595763206482,0.9917159080505371,0.9792267084121704
wol,0.987808108329773,0.9455369114875793,0.983367383480072,0.9825539588928223
xho,0.9843177199363708,0.9437390565872192,0.9797524213790894,0.9868534207344055
yor,0.981387734413147,0.9338740110397339,0.9870625734329224,0.9741987586021423
zul,0.9845835566520691,0.9572618007659912,0.9885804057121277,0.9824080467224121
