,PER,DATE,LOC,ORG,Mean
lug,0.96876454,0.92006475,0.93806016,0.9602897,0.9467948
luo,0.96206766,0.86828816,0.9176388,0.9604218,0.9271041
kin,0.9633139,0.888872,0.87699485,0.96011615,0.92232424
twi,0.9402931,0.8805892,0.9119257,0.9487363,0.9203861
nya,0.94584787,0.8900653,0.873647,0.957868,0.916857
tsn,0.9592922,0.8683374,0.89359045,0.942006,0.91580653
mos,0.95706856,0.8735347,0.87828374,0.941229,0.912529
wol,0.9458482,0.86524427,0.8890046,0.9499917,0.9125222
swa,0.93506086,0.86109495,0.9357407,0.91794485,0.9124603
zul,0.9211521,0.88841766,0.86853427,0.9579353,0.9090099
bam,0.94759,0.872376,0.8898851,0.9158787,0.9064325
sna,0.9136845,0.8488329,0.89672816,0.9653238,0.90614235
xho,0.94084895,0.86305016,0.842732,0.9488758,0.89887667
ibo,0.94932616,0.83523816,0.89026606,0.89798605,0.8932041
bbj,0.9514469,0.8119916,0.854683,0.9222015,0.8850807
ewe,0.864222,0.83889484,0.88111657,0.9527873,0.8842552
yor,0.9110477,0.8406186,0.8590425,0.91781914,0.88213193
fon,0.9404645,0.8843883,0.7537067,0.9348711,0.87835765
pcm,0.83718204,0.87321985,0.83597225,0.92112714,0.8668753
hau,0.9039858,0.65086347,0.63938,0.726319,0.73013705
