,DATE,ORG,PER,LOC,Mean
twi,,0.9698638916015625,0.9235565662384033,0.9431424736976624,0.9552360050953351
kin,,0.9627307653427124,0.9168732166290283,0.9395530819892883,0.9498238964722707
ibo,,0.9607229232788086,0.9089723825454712,0.9411606788635254,0.9493275926663325
ewe,,0.9596377015113831,0.8962572813034058,0.9392122626304626,0.9473800705029414
fon,,0.9659329652786255,0.8937703371047974,0.9314695596694946,0.9465885345752423
lug,,0.9552103877067566,0.8786446452140808,0.9326418042182922,0.9414152709337381
mos,,0.9553016424179077,0.8830286860466003,0.9308377504348755,0.9407604267963996
luo,,0.9372069239616394,0.9111549854278564,0.945890486240387,0.9403797158828149
zul,,0.9610011577606201,0.9057127833366394,0.9225054979324341,0.9403671530576853
hau,,0.958022952079773,0.9056106209754944,0.9252867698669434,0.9402685440503634
tsn,,0.9456409215927124,0.9016575217247009,0.9354797601699829,0.939064078606092
nya,,0.9465474486351013,0.9137301445007324,0.9319596886634827,0.938271898489732
sna,,0.9398311376571655,0.9055805206298828,0.9373928904533386,0.9373415720004302
swa,,0.9300974011421204,0.9100581407546997,0.9395943880081177,0.9338925194281799
wol,,0.9444763660430908,0.9199635982513428,0.9222891330718994,0.9328666283534124
pcm,,0.9043867588043213,0.9042772054672241,0.9604407548904419,0.9313315817942986
bam,,0.9059616327285767,0.9061561822891235,0.9566925764083862,0.9303589921731216
xho,,0.94681715965271,0.8855326771736145,0.9105647206306458,0.9270310069505985
bbj,,0.9515982270240784,0.9094639420509338,0.8867762088775635,0.9188132458008252
yor,,0.9455626606941223,,0.8319985866546631,0.8887806236743927
