,PER,LOC,ORG,DATE,Mean
luo,0.98982745,0.9993751,0.9995993,0.99872535,0.9968818
twi,0.98973364,0.9990987,0.999629,0.9990072,0.9968672
ibo,0.98879653,0.9987488,0.99956936,0.9993565,0.9966178
ewe,0.99018437,0.9986175,0.9993748,0.9981989,0.9965939
tsn,0.9891346,0.99893486,0.999442,0.9988546,0.99659157
kin,0.9884402,0.99927735,0.99959505,0.9990045,0.9965793
lug,0.9882683,0.9995132,0.9995026,0.9989443,0.9965571
swa,0.989197,0.9992245,0.99954164,0.99799925,0.9964906
pcm,0.9898419,0.9988672,0.9994903,0.99753535,0.99643373
fon,0.98989195,0.9978506,0.9992438,0.9981782,0.99629116
sna,0.9883232,0.9983566,0.9993764,0.999034,0.99627256
nya,0.98808175,0.9985472,0.9996065,0.99872005,0.99623895
yor,0.98918915,0.99762106,0.9989773,0.99902374,0.99620277
hau,0.98940426,0.99739206,0.999232,0.99870497,0.99618334
wol,0.9885749,0.99805653,0.9991831,0.99885035,0.9961662
bbj,0.989222,0.9976861,0.9991585,0.9983832,0.99611247
xho,0.9880491,0.99826384,0.99863607,0.99936175,0.99607766
mos,0.9890453,0.99756527,0.9992947,0.99822205,0.9960319
zul,0.98725647,0.99851555,0.9991758,0.9988,0.99593693
bam,0.98806006,0.9984341,0.99859565,0.9981383,0.99580705
