,DATE,LOC,ORG,PER,Mean
kin,0.9585867524147034,0.9475148916244507,0.9703858494758606,0.963915228843689,0.9601006805896759
nya,0.9515835642814636,0.9301250576972961,0.9714901447296143,0.9720898866653442,0.9563221633434296
lug,0.9413473606109619,0.9474116563796997,0.954171359539032,0.977393388748169,0.9550809413194656
twi,0.926875114440918,0.9432050585746765,0.9694395065307617,0.9653041362762451,0.9512059539556503
luo,0.9524637460708618,0.9429798126220703,0.9538969397544861,0.9513271450996399,0.9501669108867645
ibo,0.9701665043830872,0.8998205661773682,0.9566309452056885,0.9609041213989258,0.9468805342912674
tsn,0.9567469358444214,0.9155972599983215,0.9408531785011292,0.959521472454071,0.9431797116994858
sna,0.9683352112770081,0.8682063817977905,0.9597722291946411,0.9696578979492188,0.9414929300546646
zul,0.9587486386299133,0.8999810218811035,0.959137499332428,0.9444533586502075,0.9405801296234131
wol,0.9488329291343689,0.8859230875968933,0.9505383372306824,0.9615589380264282,0.9367133229970932
hau,0.9466002583503723,0.8708263039588928,0.964379072189331,0.964364230632782,0.9365424662828445
xho,0.9747492074966431,0.8519642949104309,0.9475902318954468,0.9461422562599182,0.9301114976406097
swa,0.9120254516601562,0.9434440732002258,0.9240239858627319,0.9407674670219421,0.930065244436264
bam,0.9316955208778381,0.9049838781356812,0.8949105739593506,0.9502764940261841,0.9204666167497635
mos,0.8737210631370544,0.8883056640625,0.9510330557823181,0.9588544368743896,0.9179785549640656
fon,0.9034437537193298,0.8637280464172363,0.9473371505737305,0.952478289604187,0.9167468100786209
ewe,0.8193601965904236,0.9170194268226624,0.9552725553512573,0.9534810781478882,0.9112833142280579
pcm,0.8255969285964966,0.9220083355903625,0.8986327648162842,0.9601410031318665,0.9015947580337524
bbj,0.8914733529090881,0.7951879501342773,0.9292203187942505,0.9504845142364502,0.8915915340185165
yor,0.9079761505126953,0.8033376932144165,0.9406366944313049,0.90235835313797,0.8885772228240967
