,ORG,LOC,DATE,PER
bam,0.9999939203262329,0.9999955296516418,0.999995768070221,0.9999971985816956
bbj,0.9999980330467224,0.9999966025352478,0.9999935030937195,0.9999979138374329
ewe,0.999994695186615,0.9999948740005493,0.999992311000824,0.9999988675117493
fon,0.9999969005584717,0.9999979734420776,0.9999925494194031,0.9999979734420776
hau,0.9999942183494568,0.9999956488609314,0.9999911189079285,0.9999970197677612
ibo,0.9999972581863403,0.9999983906745911,0.9999980926513672,0.9999967217445374
kin,0.9999986290931702,0.9999980330467224,0.9999974966049194,0.9999969601631165
lug,0.9999977946281433,0.9999975562095642,0.9999979138374329,0.9999992847442627
luo,0.9999960064888,0.9999974966049194,0.9999969601631165,0.9999977350234985
mos,0.9999980330467224,0.9999986886978149,0.9999948143959045,0.9999986886978149
nya,0.9999985694885254,0.9999988079071045,0.9999971985816956,0.9999988079071045
pcm,0.9999903440475464,0.9999921917915344,0.9999827146530151,0.9999972581863403
sna,0.9999975562095642,0.9999986886978149,0.999995768070221,0.999998927116394
swa,0.9999908804893494,0.9999954700469971,0.9999869465827942,0.9999979734420776
tsn,0.9999952912330627,0.9999977350234985,0.9999963045120239,0.999998927116394
twi,0.9999967813491821,0.9999909996986389,0.9999963045120239,0.9999971985816956
wol,0.9999943375587463,0.9999951720237732,0.9999958872795105,0.9999988079071045
xho,0.9999974966049194,0.999998927116394,0.9999951720237732,0.9999983906745911
yor,0.9999973177909851,0.9999967217445374,0.9999958872795105,0.9999971985816956
zul,0.9999986886978149,0.9999977350234985,0.999996542930603,0.9999983906745911
