,LOC,PER,ORG,DATE,Mean
twi,0.9622896313667297,0.980320155620575,0.981659471988678,,0.9747564196586609
nya,0.9529536366462708,0.984207034111023,0.9666914343833923,,0.967950701713562
mos,0.9556070566177368,0.9744407534599304,0.9734382629394531,,0.9678286910057068
zul,0.9479786157608032,0.9717704057693481,0.9802723526954651,,0.9666737914085388
tsn,0.9514548182487488,0.9755771160125732,0.9725332260131836,,0.9665217200915018
ewe,0.9608094692230225,0.9715909361839294,0.9659717679023743,,0.9661240577697754
sna,0.9527459144592285,0.9718360304832458,0.9731035828590393,,0.9658951759338379
bam,0.9586800336837769,0.9774918556213379,0.9591150879859924,,0.9650956590970358
wol,0.9433678984642029,0.9821763634681702,0.9690823554992676,,0.9648755391438802
lug,0.953575611114502,0.9786007404327393,0.9591478705406189,,0.9637747406959534
fon,0.9416691660881042,0.9705021977424622,0.976970911026001,,0.9630474249521891
ibo,0.9316917061805725,0.9794673919677734,0.9732018113136292,,0.9614536364873251
kin,0.9482209086418152,0.9751438498497009,0.9552894830703735,,0.9595514138539633
xho,0.9484245777130127,0.9607244729995728,0.9692983627319336,,0.959482471148173
hau,0.9361883401870728,0.9716430902481079,0.9701878428459167,,0.9593397577603658
luo,0.9613979458808899,0.9596102833747864,0.9555979371070862,,0.9588687221209208
pcm,0.9567643404006958,0.9778409600257874,0.9413912296295166,,0.9586655100186666
swa,0.9493377804756165,0.9781131148338318,0.942976176738739,,0.9568090240160624
bbj,0.923224925994873,0.9735356569290161,0.9715130925178528,,0.9560912251472473
yor,0.9068718552589417,0.9569240808486938,0.9709587693214417,,0.9449182351430258
