,LOC,DATE,PER,ORG
bam,0.9508007168769836,,0.9728956818580627,0.9202628135681152
bbj,0.853410542011261,,0.9414685964584351,0.9232174158096313
ewe,0.9469602704048157,,0.9632874131202698,0.9565634727478027
fon,0.9316642880439758,,0.9440757036209106,0.9234790205955505
hau,0.9641069173812866,,0.9828287959098816,0.9768460392951965
ibo,0.9645010232925415,,0.9795100092887878,0.9615397453308105
kin,0.9673929214477539,,0.9850448966026306,0.9815447926521301
lug,0.9584124088287354,,0.9873570799827576,0.9846269488334656
luo,0.9646708965301514,,0.9755290746688843,0.9626030921936035
mos,0.9480434060096741,,0.9726089835166931,0.9694883823394775
nya,0.9671003818511963,,0.9821877479553223,0.9789812564849854
pcm,0.9006227850914001,,0.9602882862091064,0.9249355792999268
sna,0.969560444355011,,0.9808648824691772,0.9817466735839844
swa,0.9520907998085022,,0.9658999443054199,0.9499807953834534
tsn,0.9587839841842651,,0.9778492450714111,0.9745032787322998
twi,0.9501552581787109,,0.9736971259117126,0.9686965942382812
wol,0.9527873992919922,,0.9698978066444397,0.9712733626365662
xho,0.9588139057159424,,0.9647600650787354,0.9834888577461243
yor,0.9325157403945923,,,0.9502838850021362
zul,0.9550858736038208,,0.9784922003746033,0.9826714992523193
