,PER,LOC,ORG,DATE,Mean
twi,0.9215951561927795,0.9764876365661621,0.9882725477218628,,0.980042209992042
ibo,,0.9698854088783264,0.9832965731620789,,0.9765909910202026
sna,0.9021487832069397,0.9783403873443604,0.9789232611656189,,0.9756901688300647
fon,0.9102665781974792,0.9726117849349976,0.9830226898193359,,0.9752191351010249
ewe,0.9075281023979187,0.972973644733429,0.9827595353126526,,0.9751612635759207
mos,0.9061369299888611,0.9752274751663208,0.9804220795631409,,0.9750675524656589
zul,0.9057634472846985,0.9700653553009033,0.983106791973114,,0.9738621264696121
nya,0.9131895303726196,0.974722683429718,0.9774687886238098,,0.9736762665785276
kin,0.8939703106880188,0.9654126763343811,0.9833748936653137,,0.9713005744493924
tsn,,0.9671352505683899,0.9747374057769775,,0.9709363281726837
wol,0.900594174861908,0.968059778213501,0.9750087261199951,,0.9688057876550235
hau,0.9012467861175537,0.9662829041481018,0.9766384959220886,,0.9687601648844205
bam,0.8886163234710693,0.9753956198692322,0.9678163528442383,,0.968414076245748
xho,0.9030976891517639,0.9705246090888977,0.9710251688957214,,0.9681719197676733
bbj,0.9056251645088196,0.9579951763153076,0.9819650053977966,,0.9675049013816394
yor,,0.9533527493476868,0.978924572467804,,0.9661386609077454
lug,0.8932536840438843,,0.9693435430526733,,0.9637072572001705
swa,0.9073566198348999,0.9680654406547546,0.9602985382080078,,0.961996398293055
pcm,0.9119100570678711,0.9719657301902771,0.9510168433189392,,0.9595843163820413
luo,0.8922504782676697,,0.9623347520828247,,0.9571433243928132
