,LOC,PER,ORG,DATE
bam,0.9598725438117981,0.9891431331634521,0.9652339816093445,
bbj,0.9096037745475769,0.9888980984687805,0.978493869304657,
ewe,0.9700078368186951,0.9838950037956238,0.9866909384727478,
fon,0.9377535581588745,0.9723645448684692,0.987874448299408,
hau,0.9296241998672485,0.9886997938156128,0.980877697467804,
ibo,0.9479327201843262,0.9902243614196777,0.9827566146850586,
kin,0.9634657502174377,0.9869412183761597,0.9855116605758667,
lug,0.9825631380081177,0.9772133827209473,0.9872075915336609,
luo,0.9741964936256409,0.9871975183486938,0.9771869778633118,
mos,0.9360226988792419,0.9770680069923401,0.9851587414741516,
nya,0.9345173835754395,0.9922229051589966,0.9833424687385559,
pcm,0.9716649055480957,0.9918506741523743,0.9653621912002563,
sna,0.9457566738128662,0.9850104451179504,0.9749863147735596,
swa,0.9788680076599121,0.9806379079818726,0.9733006954193115,
tsn,0.948674201965332,0.9858083128929138,0.9820385575294495,
twi,0.9719486236572266,0.9910761117935181,0.9890785813331604,
wol,0.9302221536636353,0.9873306751251221,0.9837438464164734,
xho,0.9270266890525818,0.9587180614471436,0.9832861423492432,
yor,0.882514238357544,0.9711939692497253,0.9812436699867249,
zul,0.9459882378578186,0.9756617546081543,0.9856624007225037,
