,LOC,ORG,PER,DATE,Mean
lug,0.9519097638830808,0.9276128810134455,0.9220128473176797,0.9117090256147728,0.9283111294572448
luo,0.9284823594400756,0.9286313870749417,0.9235994253220032,0.884557626072311,0.9163176994773329
twi,0.9325485971469112,0.9290080883547105,0.9445718926892459,0.8474811118471215,0.9134024225094973
kin,0.8824060678890141,0.917896475071107,0.9346360425940924,0.8914189192668067,0.906589376205255
ibo,0.8079518429032702,0.928095902153194,0.9478372899654695,0.9124478876505601,0.8990832306681235
swa,0.9088334546376663,0.9057083592385937,0.9403474098450214,0.8194861322280033,0.8935938389873211
tsn,0.7993697126940702,0.9189326604248198,0.917923495424712,0.9188847801333185,0.8887776621692302
sna,0.8092937975542126,0.8645010825193862,0.9438547549668653,0.9267705508664948,0.8861050464767398
bam,0.8832669047111188,0.8120244202974743,0.942932816550631,0.886810598021702,0.8812586848952315
hau,0.7326921357006945,0.9363831179911939,0.9467564979782241,0.9010273828997396,0.879214783642463
zul,0.8662753541571351,0.9023979588108206,0.8646403004998492,0.8776712864849848,0.8777462249881974
nya,0.7537080934789673,0.9240339481097282,0.9570377517690762,0.8600076748126411,0.8736968670426031
wol,0.7617215578554127,0.9142775061552776,0.9398431928929606,0.8594334067491138,0.8688189159131912
fon,0.7943522120653677,0.9258267530262487,0.9327033776101975,0.8057276296177991,0.8646524930799033
ewe,0.8960991920631853,0.9019150185457887,0.9296337900161427,0.7148855045165949,0.8606333762854279
mos,0.7851969837342281,0.8834880138576174,0.897819754098187,0.8235843748320881,0.8475222816305301
xho,0.73880605321059,0.8570030779268432,0.8574643869143588,0.9118360246286682,0.841277385670115
pcm,0.8816023619799592,0.8532518678980183,0.9503624355069348,0.5957821081985926,0.8202496933958762
yor,0.6731050641151843,0.9107487117981954,0.860150858948005,0.7966847398172476,0.8101723436696582
bbj,0.659048661080162,0.8826240153374416,0.9145766808632961,0.7513634869121358,0.8019032110482589
