,ORG,LOC,PER,DATE,Mean
kin,0.9902057647705078,0.9870473742485046,0.9931358098983765,0.9680575728416443,0.9846116304397583
lug,0.9938483238220215,0.9803174734115601,0.9901036620140076,0.9705654978752136,0.9837087392807007
hau,0.9864972829818726,0.9828270673751831,0.989881694316864,0.9742423892021179,0.9833621084690094
ibo,0.9811081886291504,0.982730507850647,0.9889334440231323,0.9779044389724731,0.9826691448688507
luo,0.985613226890564,0.9827290773391724,0.9767193794250488,0.9769535064697266,0.9805037975311279
tsn,0.9837843775749207,0.9777888655662537,0.9802339673042297,0.9794008135795593,0.9803020060062408
sna,0.9877703189849854,0.9920105934143066,0.9883277416229248,0.9493272304534912,0.979358971118927
wol,0.9825075268745422,0.9831628203392029,0.9786036610603333,0.9706951975822449,0.9787423014640808
nya,0.9918922781944275,0.9740587472915649,0.9819850921630859,0.9655248522758484,0.9783652424812317
twi,0.9818189144134521,0.9843289852142334,0.9806717038154602,0.9634798169136047,0.9775748550891876
mos,0.9829825162887573,0.9854787588119507,0.9822559356689453,0.9594724178314209,0.9775474071502686
xho,0.9875491857528687,0.9819378852844238,0.9495271444320679,0.9824857711791992,0.9753749966621399
zul,0.9902868866920471,0.9671312570571899,0.9741786122322083,0.9676148891448975,0.9748029112815857
ewe,0.979745090007782,0.9773514270782471,0.9689524173736572,0.9683583974838257,0.973601832985878
bam,0.9550508856773376,0.961505115032196,0.974224865436554,0.9632488489151001,0.9635074287652969
fon,0.9620265364646912,0.9653795957565308,0.9616712927818298,0.9520342946052551,0.9602779299020767
bbj,0.9662789702415466,0.944349467754364,0.9638621807098389,0.9589255452156067,0.958354040980339
yor,0.966588020324707,0.9506750702857971,0.9497629404067993,0.959298849105835,0.9565812200307846
pcm,0.9683161973953247,0.9705914258956909,0.964174747467041,0.920937716960907,0.9560050219297409
swa,0.9575390815734863,0.9480249285697937,0.9468258619308472,0.944111704826355,0.9491253942251205
