,DATE,LOC,PER,ORG
bam,,0.9810373783111572,0.9647712707519531,0.9516065120697021
bbj,,0.940735399723053,0.9892916679382324,0.9776426553726196
ewe,,0.9643967747688293,0.9854904413223267,0.9854506850242615
fon,,0.9707762598991394,0.9850223064422607,0.9819093346595764
hau,,0.9758220911026001,0.9843552112579346,0.9715938568115234
ibo,,0.9588847160339355,,0.9812358617782593
kin,,0.9797953963279724,0.9853659272193909,0.9833312630653381
lug,,,0.9767394661903381,0.9747186303138733
luo,,,0.9837104082107544,0.9663325548171997
mos,,0.9654163718223572,0.9840937256813049,0.9797601699829102
nya,,0.96616131067276,0.9914341568946838,0.9764111638069153
pcm,,0.9805317521095276,0.9907529354095459,0.9727339148521423
sna,,0.9684094786643982,0.9857016205787659,0.9709955453872681
swa,,0.9836639165878296,0.9853575229644775,0.9551910758018494
tsn,,0.9719932079315186,,0.980289876461029
twi,,0.9849134087562561,0.9897493124008179,0.9865517616271973
wol,,0.9638826251029968,0.9867422580718994,0.9688206911087036
xho,,0.9618450403213501,0.9682049751281738,0.9709616899490356
yor,,0.9446092247962952,,0.9752821922302246
zul,,0.9712733030319214,0.9815701842308044,0.9775388836860657
