,ORG,PER,DATE,LOC
bam,0.9999939203262329,0.9999987483024597,,0.9999998807907104
bbj,0.9999867081642151,0.999999463558197,,0.9999959468841553
ewe,0.9999986886978149,0.9999978542327881,,0.9999982118606567
fon,0.9999986886978149,0.9999973773956299,,0.9999833703041077
hau,0.9999977350234985,0.9999433159828186,,0.9999944567680359
ibo,0.9999953508377075,0.9999963045120239,,0.999998927116394
kin,0.9999967813491821,0.9999987483024597,,0.9999947547912598
lug,0.9999964833259583,0.9999980330467224,,0.9999979734420776
luo,0.9999964237213135,0.9999983310699463,,0.9999997615814209
mos,0.9999983906745911,0.9999991655349731,,0.9999980330467224
nya,0.9999968409538269,0.9999979138374329,,0.9999955892562866
pcm,0.9999980330467224,0.9999369382858276,,0.9999912977218628
sna,0.9999991059303284,0.999984622001648,,0.9999976754188538
swa,0.9999982118606567,0.9999974966049194,,0.9999975562095642
tsn,0.9999993443489075,0.9999973773956299,,0.9999937415122986
twi,0.9999997019767761,0.9999967217445374,,0.9999920725822449
wol,0.9999914169311523,0.9999995827674866,,0.9999974966049194
xho,0.9999992847442627,0.9999971389770508,,0.9999881386756897
yor,0.9999976754188538,,,0.999995231628418
zul,0.999999463558197,0.9999961256980896,,0.9999994039535522
