,DATE,LOC,PER,ORG
bam,,0.9588032364845276,0.9893107414245605,0.965457558631897
bbj,,0.9158986806869507,0.9888980984687805,0.9799388647079468
ewe,,0.9725881218910217,0.9838950037956238,0.987604558467865
fon,,0.9351750612258911,0.9720934629440308,0.9858200550079346
hau,,0.9377515912055969,0.9862543940544128,0.9860309958457947
ibo,,0.9526698589324951,0.9902243614196777,0.9842777252197266
kin,,0.9761601090431213,0.9869412183761597,0.9890909790992737
lug,,0.9859381914138794,0.9894659519195557,0.9831809997558594
luo,,0.9820236563682556,0.9863150715827942,0.988295316696167
mos,,0.9455885887145996,0.9764121770858765,0.9856815338134766
nya,,0.9368384480476379,0.9915626049041748,0.9859050512313843
pcm,,0.9852854609489441,0.9918506741523743,0.9632440209388733
sna,,0.951858639717102,0.990021824836731,0.9810386896133423
swa,,0.9885739088058472,0.9806379079818726,0.9777076244354248
tsn,,0.9602169394493103,0.9858083128929138,0.9819221496582031
twi,,0.9843026399612427,0.9912446737289429,0.9929993152618408
wol,,0.934562087059021,0.9873306751251221,0.9841073751449585
xho,,0.9369223117828369,0.9587180614471436,0.9824749827384949
yor,,0.919334888458252,0.9728772640228271,0.9868417382240295
zul,,0.9535403251647949,0.9756617546081543,0.984725832939148
