,LOC,DATE,ORG,PER,Mean
kin,0.9987433,0.999222,0.9995521,0.9995852,0.9992756
lug,0.99851114,0.9991038,0.999478,0.9998721,0.99924123
nya,0.9984562,0.99875975,0.9995413,0.9996672,0.9991061
sna,0.99873877,0.99904096,0.9993761,0.99913156,0.99907184
luo,0.9985522,0.9989905,0.99916023,0.99947697,0.99904495
wol,0.99838656,0.9989967,0.99903834,0.99947345,0.9989737
tsn,0.99773747,0.9990248,0.9993609,0.999496,0.9989048
ibo,0.99829763,0.99892944,0.99881685,0.99952286,0.9988917
twi,0.99783045,0.99845684,0.9992627,0.99954313,0.99877334
xho,0.99826616,0.99861807,0.9990718,0.99894905,0.99872625
zul,0.99798626,0.998469,0.99912655,0.9991601,0.9986854
ewe,0.99764645,0.99825466,0.9991265,0.9994979,0.99863136
pcm,0.99826854,0.99713546,0.99898994,0.99957824,0.998493
swa,0.99803835,0.9978026,0.9985925,0.99941623,0.99846244
bam,0.99802965,0.9978635,0.99842036,0.99931246,0.99840647
mos,0.997792,0.99749184,0.99904734,0.9992563,0.9983969
hau,0.99796087,0.99683553,0.9986839,0.99930716,0.99819684
yor,0.997145,0.99819213,0.99840486,0.99895686,0.9981747
bbj,0.996867,0.99711806,0.9980977,0.9994311,0.9978785
fon,0.9970799,0.99611014,0.99881613,0.99930936,0.9978289
