,ORG,DATE,PER,LOC
bam,0.9546447992324829,,0.9566400647163391,0.9752393960952759
bbj,0.9723395109176636,,0.9658188223838806,0.9376330375671387
ewe,0.9786069393157959,,0.9543733596801758,0.9618862867355347
fon,0.9791181683540344,,0.9483096599578857,0.9611775875091553
hau,0.977899968624115,,0.9600240588188171,0.9624977111816406
ibo,0.9780158400535583,,0.9591144919395447,0.9761643409729004
kin,0.9821413159370422,,0.9664766788482666,0.9763073325157166
lug,0.9756287336349487,,0.958033561706543,0.962340235710144
luo,0.98250812292099,,0.9661654233932495,0.980679988861084
mos,0.981243908405304,,0.9400373697280884,0.9664543271064758
nya,0.9753580093383789,,0.9615069031715393,0.9575750231742859
pcm,0.9544118642807007,,0.956834614276886,0.968241810798645
sna,0.9744678735733032,,0.9661492109298706,0.9710096120834351
swa,0.9716793894767761,,0.9499787092208862,0.9751651287078857
tsn,0.973942220211029,,0.9592497944831848,0.9691529273986816
twi,0.9880154132843018,,0.9629621505737305,0.9708045721054077
wol,0.9731531739234924,,0.9679791927337646,0.9534286260604858
xho,0.9750416874885559,,0.9550509452819824,0.9544476866722107
yor,0.9789115786552429,,0.9490399956703186,0.94489586353302
zul,0.9784812331199646,,0.9660964012145996,0.9670088291168213
