,PER,DATE,ORG,LOC,Mean
kin,0.9550007581710815,0.9447871446609497,0.9587188959121704,0.9503839015960693,0.9522226750850677
luo,0.9528466463088989,0.9407351016998291,0.9359082579612732,0.925041913986206,0.9386329799890518
twi,0.9579103589057922,0.9108008146286011,0.9607683420181274,0.9225031137466431,0.937995657324791
nya,0.9616289138793945,0.9212761521339417,0.9601563215255737,0.9031047821044922,0.9365415424108505
lug,0.9829514622688293,0.894012451171875,0.9411249160766602,0.9239988923072815,0.9355219304561615
sna,0.9584851861000061,0.9601010680198669,0.9538430571556091,0.8684473633766174,0.9352191686630249
ibo,0.9447247385978699,0.9569624662399292,0.9504623413085938,0.8468431830406189,0.9247481822967529
tsn,0.9437823295593262,0.9353699684143066,0.927501916885376,0.8812711238861084,0.9219813346862793
zul,0.9228430986404419,0.9423781633377075,0.9558423757553101,0.8649213314056396,0.9214962422847748
swa,0.9433428645133972,0.8815274238586426,0.9079371094703674,0.9335584044456482,0.9165914505720139
wol,0.9482048749923706,0.931782603263855,0.9403297901153564,0.8389047384262085,0.9148055016994476
hau,0.9480347633361816,0.9367526769638062,0.9479745030403137,0.8205151557922363,0.9133192747831345
xho,0.9284228086471558,0.9632371068000793,0.9386200904846191,0.8071461319923401,0.9093565344810486
bam,0.9345844388008118,0.9071111679077148,0.8851738572120667,0.8763810396194458,0.9008126258850098
fon,0.9340057373046875,0.8711431622505188,0.9235996007919312,0.8179596066474915,0.8866770267486572
mos,0.9409720301628113,0.7971756458282471,0.9279084205627441,0.8589940667152405,0.8812625408172607
ewe,0.9470376968383789,0.747866153717041,0.9320536851882935,0.8963634967803955,0.8808302581310272
pcm,0.94857257604599,0.7642472982406616,0.8979066014289856,0.8972734808921814,0.8769999891519547
bbj,0.943923830986023,0.8417344689369202,0.8873108625411987,0.729200005531311,0.8505422919988632
yor,0.8666338324546814,0.86818927526474,0.91805100440979,0.7201917767524719,0.8432664722204208
